LineNo,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
96413,83530152,0.2486643,0.0001451969,0.2488271,0.2585996,7.213814,7.2845,7.36,NaN,0,7.882663,14,6
96831,83638062,0.2511782,0.0001586974,0.2487911,0.2585996,7.232972,7.28865,7.23,NaN,0,7.888606,13,7
97273,83744815,0.2498906,0.0001912266,0.2515074,0.2585996,7.249723,7.291981,7.15,NaN,0,7.892906,12,6
97682,83849936,0.2453707,0.0001577735,0.2498885,0.2585996,7.264863,7.294889,7.34,NaN,0,7.897683,12,7
98128,83958478,0.2510604,0.0002243519,0.2470186,0.2585996,7.278971,7.298336,7.16,NaN,0,7.902098,12,7
98570,84067125,0.2611459,0.000305146,0.2518866,0.2585996,7.291811,7.302285,7.07,NaN,0,7.906208,11,9
99019,84175288,0.2469865,0.0003679842,0.2513337,0.2585996,7.303544,7.304792,7,NaN,0,7.910424,11,8
99460,84284556,0.2512697,0.0003952384,0.251406,0.2585996,7.314313,7.306596,6.95,NaN,0,7.91248,11,8
99905,84391704,0.2510355,0.00028795,0.25018,0.2585996,7.324255,7.307823,6.82,NaN,0,7.913707,11,9
100348,84498886,0.2520311,0.0002216101,0.2513559,0.2585996,7.333506,7.306774,7.05,NaN,0,7.912818,12,8
100794,84605129,0.2519855,0.0003191829,0.25451,0.2585996,7.342195,7.30482,7.06,NaN,0,7.909246,12,8
101239,84714897,0.253131,0.0006827414,0.2537659,0.2585996,7.350446,7.303559,6.91,NaN,0,7.908153,13,9
101682,84823095,0.2627675,0.001084864,0.2573534,0.2585996,7.358363,7.301887,7.51,NaN,0,7.90584,13,9
