LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
3018,6.0465e+07,2,0.00050304,0.0022428,0.00079108,-0.23469,-0.11536,-9.8045,0,0,36.751,1,1,7746,3872
3049,6.0469e+07,2,0.00027732,0.0028756,0.0017382,-0.23305,-0.11716,-9.8034,0,0,36.751,1,1,7746,3872
3052,6.0471e+07,2,-0.00031216,0.0023027,0.002323,-0.23077,-0.11923,-9.8037,0,0,36.751,1,1,7746,3872
3056,6.0473e+07,2,-2.2297e-05,0.0017155,0.0019299,-0.22765,-0.12268,-9.8056,0,0,36.751,1,1,7746,3872
3059,6.0475e+07,2,0.00050665,0.0015881,0.00078626,-0.22639,-0.12496,-9.8065,0,0,36.751,1,1,7746,3872
3090,6.0478e+07,2,0.0016043,0.0015475,-0.00070326,-0.22712,-0.12666,-9.807,0,0,36.751,1,1,7746,3872
3093,6.0481e+07,2,0.0029114,0.0011234,-0.00053111,-0.22998,-0.12738,-9.806,0,0,36.751,1,1,7746,3872
3096,6.0483e+07,2,0.0029383,0.00062866,0.00023066,-0.23257,-0.12748,-9.8058,0,0,36.751,1,1,7746,3872
3100,6.0486e+07,2,0.0019996,0.00026698,0.0014881,-0.23502,-0.12698,-9.808,0,0,36.751,1,1,7746,3872
3131,6.0488e+07,2,0.00027028,0.00056819,0.0017128,-0.23777,-0.12584,-9.8143,0,0,36.75,1,1,7746,3872
3134,6.049e+07,2,-0.001307,0.0017205,0.0017798,-0.23751,-0.12512,-9.8159,0,0,36.75,1,1,7746,3872
3138,6.0493e+07,2,-0.001496,0.0022442,0.0017311,-0.23622,-0.12547,-9.8162,0,0,36.75,1,1,7746,3872
3141,6.0495e+07,2,-0.0012788,0.0022784,0.0016627,-0.23351,-0.12726,-9.8197,0,0,36.75,1,1,7746,3872
3172,6.0498e+07,2,-0.0011592,0.0018472,0.0015538,-0.23143,-0.12916,-9.8232,0,0,36.75,1,1,7746,3872
3175,6.0501e+07,2,-0.0014138,0.0011419,0.00095919,-0.22864,-0.13152,-9.8283,0,0,36.75,1,1,7746,3872
3178,6.0503e+07,2,-0.0015846,0.00093055,0.00094413,-0.2269,-0.13287,-9.8297,0,0,36.75,1,1,7746,3872
3181,6.0505e+07,2,-0.0012745,0.0014832,0.00097237,-0.22383,-0.13345,-9.8285,0,0,36.75,1,1,7746,3872
3212,6.0508e+07,2,-0.0001004,0.0015356,0.00034078,-0.22153,-0.13173,-9.827,0,0,36.75,1,1,7746,3872
3215,6.051e+07,2,0.00024569,0.0012251,8.3315e-05,-0.21836,-0.1271,-9.8217,0,0,36.75,1,1,7746,3872
3223,6.0514e+07,2,-0.00046035,0.00057794,-0.00013418,-0.2171,-0.12441,-9.8186,0,0,36.75,1,1,7746,3872
