LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
4928,60941583,0,1.66,-1.14,16.38,-0.001480846,0.0004469703,-0.575838,-0.4808257,1.558464,0.05642892,-0.2552331,-0.01,0,-0.12,90.33
4969,60951572,0,1.66,-1.14,16.38,-0.001369793,0.000361202,-0.5757033,-0.478117,1.558464,0.05642892,-0.2600052,-0.01,0,-0.12,90.33
5011,60961520,0,1.66,-1.14,16.38,-0.001193512,0.0003758904,-0.5756536,-0.4752564,1.558464,0.05642892,-0.2657554,-0.01,0,-0.12,90.33
5045,60972248,0,1.66,-1.14,16.38,-0.001177055,0.000226985,-0.5750885999999999,-0.4712462,1.558464,0.05642892,-0.2705075,-0.01,0,-0.12,90.33
5085,60982103,0,1.66,-1.14,16.38,-0.0009353906,-1.366903e-05,-0.5745149000000001,-0.4673117,1.558464,0.05642892,-0.27474,-0.01,0,-0.12,90.33
5126,60992884,0,1.66,-1.14,16.38,-0.0008010445,-0.0002379214,-0.5741575,-0.4640339,1.558464,0.05642892,-0.2790269,-0.01,0,-0.12,90.33
5167,61003190,0,1.66,-1.14,16.38,-0.0008287992,8.066402e-05,-0.5736717,-0.4605349,1.558464,0.05642892,-0.2839393,-0.01,0,-0.12,90.33
5208,61013980,0,1.66,-1.14,16.38,-0.0007812801,1.755252e-05,-0.5736256,-0.4566669,1.558464,0.05642892,-0.2896693,-0.01,0,-0.12,90.33
5248,61023955,0,1.66,-1.14,16.38,-0.0008924032,-3.311141e-05,-0.5733220999999999,-0.4538564,1.558464,0.05642892,-0.2940547,-0.01,0,-0.12,90.33
5294,61033883,0,1.66,-1.14,16.38,-0.000933511,0.0001309851,-0.5728521,-0.4513743,1.558464,0.05642892,-0.2984897,-0.01,0,-0.12,90.33
5336,61044264,0,1.66,-1.14,16.39,-0.0009922940999999999,0.0002614788,-0.5725639,-0.4488876,1.525068,0.06449019,-0.3035438,-0.01,0,-0.12,90.33
5377,61054290,0,1.66,-1.14,16.39,-0.001203641,0.0002155698,-0.5725181,-0.4478133,1.525068,0.06449019,-0.3080732,-0.01,0,-0.12,90.33
5418,61067083,0,1.66,-1.14,16.39,-0.001516561,5.614822e-05,-0.5721809,-0.4458403,1.525068,0.06449019,-0.313211,-0.01,0,-0.12,90.33
