LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
2320,1.1926e+08,0,-0.0046022,-0.0016558,-0.003009,0.045143,0.090277,-9.7383,0,0,44.839,1,1,8008,4004
2323,1.1926e+08,0,-0.0049915,-0.0023333,-0.0016396,0.047917,0.090307,-9.7408,0,0,44.839,1,1,8008,4004
2358,1.1926e+08,0,-0.0054599,-0.0030791,-0.00079052,0.048601,0.091643,-9.7426,0,0,44.839,1,1,8008,4004
2361,1.1927e+08,0,-0.0057752,-0.003595,-0.0013428,0.047664,0.092581,-9.7445,0,0,44.839,1,1,8008,4004
2365,1.1927e+08,0,-0.0059828,-0.002432,-0.0010167,0.044665,0.093723,-9.7463,0,0,44.839,1,1,8008,4004
2368,1.1927e+08,0,-0.0055388,-0.00066775,-0.0015627,0.038492,0.09959,-9.7504,0,0,44.839,1,1,8008,4004
2403,1.1927e+08,0,-0.004124,-0.00083158,-0.0024067,0.034389,0.10524,-9.753,0,0,44.839,1,1,8008,4004
2406,1.1928e+08,0,-0.0020399,-0.0017512,-0.0022405,0.028654,0.1111,-9.758,0,0,44.839,1,1,8008,4004
2409,1.1928e+08,0,-0.0012194,-0.0020913,-0.0014592,0.025088,0.11339,-9.761,0,0,44.839,1,1,8008,4004
2412,1.1928e+08,0,-0.0015597,-0.0032777,-0.0010895,0.020599,0.11726,-9.7615,0,0,44.84,1,1,8008,4004
2447,1.1928e+08,0,-0.0015663,-0.0031802,-0.00054592,0.021517,0.121,-9.757,0,0,44.84,1,1,8008,4004
2450,1.1929e+08,0,0.00026608,-0.0016814,-0.00053433,0.023543,0.12427,-9.7487,0,0,44.84,1,1,8008,4004
2454,1.1929e+08,0,0.00092857,-0.0016096,-0.00075929,0.024262,0.12464,-9.7452,0,0,44.84,1,1,8008,4004
2457,1.1929e+08,0,0.00059058,-0.0015594,-0.00055508,0.024184,0.12306,-9.7431,0,0,44.84,1,1,8008,4004
2492,1.1929e+08,0,-0.00068094,-0.00012781,-0.00019055,0.023045,0.11967,-9.7387,0,0,44.84,1,1,8008,4004
2495,1.193e+08,0,-0.00076014,-0.00028845,-0.0012786,0.022572,0.11957,-9.7384,0,0,44.84,1,1,8008,4004
2498,1.193e+08,0,-0.00013901,-0.00081386,-0.0016715,0.02366,0.12022,-9.7399,0,0,44.84,1,1,8008,4004
2502,1.193e+08,0,0.00087505,-0.0013701,-0.0014496,0.023955,0.11898,-9.7408,0,0,44.84,1,1,8008,4004
2537,1.193e+08,0,0.00048806,-0.00083781,-0.00059184,0.022995,0.11576,-9.7395,0,0,44.84,1,1,8008,4004
2540,1.1931e+08,0,-7.997e-05,0.0001649,2.436e-06,0.02154,0.11226,-9.7358,0,0,44.84,1,1,8008,4004
2544,1.1931e+08,0,0.00085724,-0.00068629,-2.1328e-05,0.020558,0.11207,-9.7339,0,0,44.84,1,1,8008,4004
2547,1.1931e+08,0,0.0026221,-0.0019074,-0.0012991,0.019501,0.11306,-9.7356,0,0,44.84,1,1,8008,4004
2582,1.1931e+08,0,0.0032292,-0.0023379,-0.0016659,0.019602,0.11312,-9.7394,0,0,44.84,1,1,8008,4004
2585,1.1932e+08,0,0.0037226,-0.0024374,-0.0011895,0.022616,0.11204,-9.7448,0,0,44.84,1,1,8008,4004
2589,1.1932e+08,0,0.003654,-0.0017193,-0.00068228,0.026933,0.1109,-9.7476,0,0,44.84,1,1,8008,4004
2592,1.1932e+08,0,0.003763,-0.00081016,-0.0011988,0.033747,0.10828,-9.7535,0,0,44.841,1,1,8008,4004
2627,1.1932e+08,0,0.0034577,-0.00018934,-0.0010422,0.036869,0.10565,-9.7584,0,0,44.841,1,1,8008,4004
2630,1.1933e+08,0,0.0024416,0.00031799,-0.00087981,0.03885,0.10247,-9.7647,0,0,44.841,1,1,8008,4004
2634,1.1933e+08,0,0.0026133,0.0002263,-0.00075133,0.038716,0.10099,-9.7696,0,0,44.841,1,1,8008,4004
2637,1.1933e+08,0,0.0035164,-0.00044902,-0.00034419,0.036937,0.099306,-9.7741,0,0,44.841,1,1,8008,4004
2672,1.1933e+08,0,0.0039864,0.0012373,-0.00036163,0.032396,0.097001,-9.7772,0,0,44.841,1,1,8008,4004
2675,1.1934e+08,0,0.0037285,0.002866,-0.0011139,0.027388,0.096273,-9.7788,0,0,44.841,1,1,8008,4004
2679,1.1934e+08,0,0.0028115,0.0042172,-0.0012893,0.018549,0.096897,-9.7781,0,0,44.841,1,1,8008,4004
2682,1.1934e+08,0,0.0030792,0.0047083,-0.00015539,0.012256,0.098345,-9.7775,0,0,44.841,1,1,8008,4004
2717,1.1934e+08,0,0.0027572,0.0037409,0.00094232,0.0010685,0.10176,-9.776,0,0,44.841,1,1,8008,4004
2720,1.1935e+08,0,0.0024041,0.0033435,0.00076641,-0.0046853,0.10349,-9.7764,0,0,44.841,1,1,8008,4004
2723,1.1935e+08,0,0.0017612,0.0034698,-0.00014903,-0.008686,0.10536,-9.7767,0,0,44.841,1,1,8008,4004
2726,1.1935e+08,0,0.0021473,0.0031671,-0.00079922,-0.008542,0.10658,-9.7763,0,0,44.841,1,1,8008,4004
2764,1.1935e+08,0,0.0033347,0.0026799,-0.00085708,-0.0051665,0.10421,-9.7758,0,0,44.842,1,1,8008,4004
2767,1.1936e+08,0,0.0041398,0.0026557,-0.00057255,-0.0011423,0.10058,-9.7739,0,0,44.842,1,1,8008,4004
2772,1.1936e+08,0,0.0031064,0.0020317,0.00010852,0.0057931,0.093871,-9.7699,0,0,44.842,1,1,8008,4004
2775,1.1936e+08,0,0.0020904,0.001934,0.00028278,0.010782,0.090576,-9.7697,0,0,44.842,1,1,8008,4004
2810,1.1936e+08,0,0.0012098,0.002545,0.00016873,0.01804,0.088622,-9.7727,0,0,44.842,1,1,8008,4004
