LineNo,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
599113,203101283,-2.95043e-06,-2.468687e-08,0,0.2585996,-0.03004992,-0.03004992,0.4,NaN,0,0.9913168999999999,-13,-13
599554,203206908,-2.95043e-06,-2.015213e-08,0,0.2585996,-0.02533855,-0.02533855,0.12,NaN,0,0.979175,-2,-2
599967,203312422,-2.95043e-06,-1.295211e-08,0,0.2585996,-0.009002369,-0.009002369,0.09,NaN,0,0.9788944000000001,10,10
600412,203417262,-2.95043e-06,-1.774947e-08,0,0.2585996,0.00992825,0.00992825,-0.13,NaN,0,0.9817269,6,6
600857,203521537,-2.95043e-06,-2.410752e-08,0,0.2585996,0.01797997,0.01797997,-0.12,NaN,0,0.9752675,-1,-1
601298,203627099,-2.95043e-06,-2.829461e-08,0,0.2585996,0.01722929,0.01722929,-0.1,NaN,0,0.9600058,5,5
601743,203729641,-2.95043e-06,-3.228115e-08,0,0.2585996,0.02809043,0.02809043,-0.1,NaN,0,0.9570348,24,24
602184,203834047,-2.95043e-06,-3.50949e-08,0,0.2585996,0.05117827,0.05117827,-0.14,NaN,0,0.9671985,26,26
602632,203938626,0.00139308,2.670893e-05,0,0.2585996,0.06325822,0.06325822,0.18,NaN,0,0.9680327,6,6
603043,204043320,0.001470864,3.031478e-05,0,0.2585996,0.05457562,0.05457562,-0.08,NaN,0,0.9484859,-15,-15
603489,204147064,0.0007906854,1.411338e-05,0,0.2585996,0.03593249,0.03593249,0.14,NaN,0,0.9167202,-11,-11
603929,204253847,-0.009336262999999999,-0.0001035109,0,0.2585996,0.03352479,0.03352479,0.21,NaN,0,0.8998777,18,18
604376,204356419,-0.00502187,-6.159209e-05,0,0.2585996,0.05588527,0.05588527,-0.22,NaN,0,0.9080398,29,29
604819,204462863,-0.002786368,-5.256943e-05,0,0.2585996,0.08020242,0.08020242,0.07000000000000001,NaN,0,0.9168539999999999,21,21
605264,204567388,-0.001499057,-4.303921e-05,0,0.2585996,0.09138681,0.09138681,0.07000000000000001,NaN,0,0.9118488,8,8
605705,204672119,-0.0008193254,-3.523735e-05,0,0.2585996,0.09529861000000001,0.09529861000000001,0.01,NaN,0,0.9010817,12,12
606150,204777563,-0.0004410148,-2.021703e-05,0,0.2585996,0.1108994,0.1108994,0.61,NaN,0,0.9020875,24,24
606594,204883593,-0.00024122,-1.052386e-05,0,0.2585996,0.1343908,0.1343908,-0.01,NaN,0,0.9121358000000001,22,22
607040,204985615,-0.0001299977,-5.610331e-06,0,0.2585996,0.1483276,0.1483276,0.28,NaN,0,0.9142166,4,4
607450,205090837,-6.496906e-05,-3.317757e-06,0,0.2585996,0.1413926,0.1413926,0.47,NaN,0,0.8937547,-18,-18
607892,205197094,-3.585219e-05,-1.799079e-06,0,0.2585996,0.1177942,0.1177942,0.18,NaN,0,0.855958,-26,-26
608337,205300063,-0.002518088,-0.0001194149,0,0.2585996,0.1003781,0.1003781,0.45,NaN,0,0.8241832,-4,-4
608782,205406013,-0.006688893,-0.0002883286,0,0.2585996,0.1115321,0.1115321,0.05,NaN,0,0.8199793,16,16
609229,205510598,-0.003598034,-0.0001592932,0,0.2585996,0.130559,0.130559,0.01,NaN,0,0.8244874,13,13
609670,205616370,-0.001965821,-9.748293e-05,0,0.2585996,0.1335772,0.1335772,0.34,NaN,0,0.8128115,-6,-6
610115,205721064,-0.001057655,-4.866614e-05,0,0.2585996,0.1240812,0.1240812,0.22,NaN,0,0.7895521,-13,-13
610557,205826352,-0.0005780458,-2.046145e-05,0,0.2585996,0.1156623,0.1156623,0.14,NaN,0,0.766439,-3,-3
611005,205933104,-0.0003112853,-5.715585e-06,0,0.2585996,0.1200996,0.1200996,-0.06,NaN,0,0.7568686999999999,8,8
611414,206037357,-0.0001704991,-3.139081e-06,0,0.2585996,0.1247833,0.1247833,0.06,NaN,0,0.7478501,8,8
611861,206142080,-9.205937000000001e-05,-2.491863e-06,0,0.2585996,0.1207025,0.1207025,0.02,NaN,0,0.731997,-4,-4
612302,206246078,-5.152822e-05,-2.006145e-06,0,0.2585996,0.1101117,0.1101117,0.02,NaN,0,0.7070400999999999,-7,-7
612749,206351508,-2.816319e-05,-1.409022e-06,0,0.2585996,0.1083666,0.1083666,0.2,NaN,0,0.691089,9,9
613190,206457312,-1.573563e-05,-9.057621e-07,0,0.2585996,0.1230829,0.1230829,0.24,NaN,0,0.6894403,24,24
613637,206561949,-8.821487e-06,-6.249875e-07,0,0.2585996,0.1420773,0.1420773,0.14,NaN,0,0.6929013000000001,17,17
614077,206670069,-5.334616e-06,-3.560222e-07,0,0.2585996,0.1497472,0.1497472,-0.19,NaN,0,0.6839544,-3,-3
614522,206772664,-3.278255e-06,-2.088548e-07,0,0.2585996,0.1398132,0.1398132,-0.03,NaN,0,0.6581589,-8,-8
614934,206878092,-2.95043e-06,-1.948058e-07,0,0.2585996,0.1350995,0.1350995,0.01,NaN,0,0.6365842,9,9
615379,206982545,-2.95043e-06,-2.07222e-07,0,0.2585996,0.1537958,0.1537958,0.07000000000000001,NaN,0,0.6418374999999999,31,31
615821,207087127,-2.95043e-06,-2.47504e-07,0,0.2585996,0.1795024,0.1795024,0.28,NaN,0,0.6535059,22,22
616264,207191919,0.002589792,0.0002875214,0,0.2585996,0.1890914,0.1890914,0.25,NaN,0,0.6509032,-3,-3
616709,207296283,0.001392424,0.0001837837,0,0.2585996,0.1803878,0.1803878,0.01,NaN,0,0.6281615,-16,-16
617120,207399894,0.0007721782,0.0001080716,0,0.2585996,0.1704413,0.1704413,0,NaN,0,0.6027579,-4,-4
617565,207504438,-0.001990557,-0.0002642795,0,0.2585996,0.1770311,0.1770311,0.25,NaN,0,0.5929674,16,16
618010,207609665,-0.001071155,-0.0001492711,0,0.2585996,0.1965938,0.1965938,0.17,NaN,0,0.5969737000000001,19,19
618455,207714619,-0.0005765855,-8.88455e-05,0,0.2585996,0.2075426,0.2075426,0.54,NaN,0,0.5938005,0,0
618899,207819999,-0.0003104806,-5.079905e-05,0,0.2585996,0.2052623,0.2052623,0.05,NaN,0,0.5769787,-9,-9
619345,207924104,-0.0001672804,-2.83039e-05,0,0.2585996,0.201872,0.201872,0.09,NaN,0,0.5585355,-1,-1
619786,208029522,-9.045005000000001e-05,-1.294512e-05,0,0.2585996,0.2109644,0.2109644,0.19,NaN,0,0.5526667,13,13
620232,208134365,-4.893541e-05,-6.705006e-06,0,0.2585996,0.2251326,0.2251326,0.4,NaN,0,0.5537962,8,8
620674,208238416,-2.703071e-05,-3.966416e-06,0,0.2585996,0.2287585,0.2287585,-0.14,NaN,0,0.5453753,-11,-11
621121,208342365,-1.487136e-05,-2.247149e-06,0,0.2585996,0.2128049,0.2128049,0.23,NaN,0,0.5158719,-22,-22
621562,208446918,-8.493662000000001e-06,-1.217253e-06,0,0.2585996,0.1948317,0.1948317,-0.03,NaN,0,0.4826857,-10,-10
622007,208551364,-0.002526462,-0.0002908832,0,0.2585996,0.1938675,0.1938675,0,NaN,0,0.4670731,6,6
622418,208656411,-0.001380444,-0.000138866,0,0.2585996,0.2008416,0.2008416,0.11,NaN,0,0.4595817,10,10
622863,208759586,-0.0007430017,-7.400819e-05,0,0.2585996,0.2015729,0.2015729,0.03,NaN,0,0.4453366,-2,-2
623308,208866316,-0.0004062951,-3.597577e-05,0,0.2585996,0.19148,0.19148,0.14,NaN,0,0.4208471,-8,-8
623753,208970531,-0.0002188683,-1.72994e-05,0,0.2585996,0.1829477,0.1829477,0.2,NaN,0,0.3970865,-2,-2
624194,209075355,-0.000120014,-8.069022e-06,0,0.2585996,0.1847049,0.1847049,-0.05,NaN,0,0.3861178,6,6
624640,209178510,-6.502866999999999e-05,-3.50154e-06,0,0.2585996,0.1885676,0.1885676,0,NaN,0,0.3792613,3,3
625050,209283921,-3.5882e-05,-1.756896e-06,0,0.2585996,0.1830199,0.1830199,-0.2,NaN,0,0.3635817,-11,-11
625493,209389432,-1.996756e-05,-8.455991e-07,0,0.2585996,0.159261,0.159261,0.07000000000000001,NaN,0,0.328684,-24,-24
625938,209494329,-1.111627e-05,-3.835321e-07,0,0.2585996,0.1298207,0.1298207,-0.1,NaN,0,0.2898594,-20,-20
626379,209599627,-6.467104e-06,-1.786325e-07,0,0.2585996,0.1062497,0.1062497,-0.17,NaN,0,0.2585751,-15,-15
