TimeUS,RPM,Curr,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Guasto
87365759,6371,3.89,-3.05,-3.51,-1.64,-3.08,8.21,7.38,0.2236573,0.03252203,-0.008086294,-0.6280013,0.9803619,-10.13272,2
87475107,6414,4.21,-1.54,-1.92,-1.69,-2.41,8.21,7.12,0.1661296,0.1517708,0.02397048,-0.3668497,0.9899625,-9.521645,2
87803907,6487,4.74,-0.58,0.65,-2.13,-1.98,8.21,7.88,-0.1728563,-0.1583002,0.0564079,-0.08853777,0.9325423,-10.66861,2
87913429,6689,4.6,-1.88,-0.82,-1.97,-2.81,8.21,8.31,-0.3721584,-0.07816251,0.04418793,-0.7109879,0.7142613,-11.17787,2
88136013,6736,4.24,-4.32,-5.04,-1.49,-2.27,8.18,9.32,-0.2004142,0.1799655,0.0723757399999999,-0.4118995,0.8979959,-10.3614,2
88244206,6607,4.27,-4.55,-6.04,-1.56,-1.34,8.18,9.47,-0.08770612,0.1174071,0.01701304,-0.05869466,1.219781,-9.939018,2
88358776,6471,4.51,-4.68,-5.59,-1.65,-1.08,8.19,9.46,0.1236396,-0.02806275,-0.01853668,-0.1615193,1.085019,-9.924683,2
88456522,6697,4.31,-4.7,-5.13,-1.91,-1.13,8.21,9.22,0.1801359,-0.09719484,-0.0705701299999999,0.04108868,0.8922993,-9.762948,2
88669870,6569,3.77,-4.38,-4.97,-2.52,-2.27,8.26,8.35,0.02977823,-0.1215882,-0.05368556,-0.3972697,0.9476839,-9.399497,2
88787849,6343,3.95,-4.33,-4.86,-2.99,-2.85,8.3,7.74,0.02453608,-0.1957393,-0.1043321,-0.1071011,0.8442723,-9.387035,2
88890608,6350,3.86,-4.23,-4.94,-3.48,-3.78,8.33,7.29,-0.02058522,-0.1090426,-0.09376287,-0.1725742,0.7809694,-9.755766,2
89001209,6290,3.94,-4.08,-4.39,-3.79,-4.32,8.36,6.94,0.1294944,-0.0210665,-0.04449172,-0.1929716,0.8568829,-9.928749,2
89105477,6338,4.17,-3.93,-4.0,-4.04,-4.15,8.37,6.71,0.1416222,0.0118164,-0.04400929,-0.1635958,0.8499227,-10.11327,2
89220195,6284,4.6,-3.93,-3.87,-4.24,-3.71,8.39,6.66,0.01350194,0.0848805599999999,0.01162789,-0.3121573,0.8444535,-10.89481,2
89323200,6420,4.29,-3.83,-4.04,-3.98,-3.52,8.37,6.83,-0.2221602,0.08450807,0.07784551,-0.2632817,0.8908551,-10.52502,2
89430512,6723,4.14,-3.48,-4.4,-3.69,-2.97,8.35,7.21,0.05000906,0.07015233,0.05955538,-0.1257497,0.9996606,-10.39548,2
89540038,6482,4.61,-3.13,-4.41,-3.86,-2.89,8.36,7.84,0.07268015,0.0230662,0.1242809,-0.425756,1.094431,-10.72498,2
89648981,6443,4.49,-2.84,-3.95,-3.61,-3.11,8.35,8.45,0.05569544,0.01655147,0.06498373,-0.4002026,0.8506793,-10.60139,2
89757655,6580,4.25,-2.35,-3.93,-3.42,-2.29,8.34,8.78,0.0690253599999999,0.1581252,0.05567537,-0.4060604,1.022665,-10.23801,2
89867430,6475,4.28,-1.93,-3.5,-3.31,-1.9,8.33,8.81,0.1792337,-0.02345855,-0.02179412,-0.2201997,0.7847374,-10.31472,2
89978980,6560,4.28,-1.83,-2.84,-3.38,-1.72,8.34,8.76,0.1969204,-0.02995799,0.04132565,-0.2247207,0.9532537,-9.973187,2
90091262,6592,4.14,-1.83,-2.63,-3.51,-1.99,8.34,8.82,-0.05297504,-0.044623,-0.01033336,-0.3496034,0.7888588,-9.860213,2
90192000,6479,4.13,-1.79,-2.95,-3.59,-2.28,8.34,8.87,-0.1000744,0.004460188,-0.03328609,-0.5924395,0.8570824,-9.898024,2
90307657,6373,3.85,-1.74,-3.37,-3.63,-2.43,8.35,8.93,-0.2221771,0.0751094,0.02077708,-0.5443619,0.7382415,-9.962826,2
90418748,6407,4.11,-1.46,-3.47,-3.73,-2.51,8.35,8.88,0.06520647,-0.03232172,-0.02515458,-0.1600185,1.088902,-9.657842,2
90519729,6341,4.2,-1.25,-3.2,-3.72,-2.66,8.35,8.9,-0.02999387,-0.02456231,0.02223756,-0.01064,0.9170275,-9.382273,2
90633863,6291,4.2,-0.98,-2.55,-3.55,-3.15,8.34,9.02,0.1471676,-0.1545754,0.006883674,-0.6886986,0.6329724,-9.595503,2
90738327,6366,4.08,-1.25,-2.43,-3.16,-3.19,8.34,9.19,-0.04749979,0.04867684,0.02480173,-0.3796409,0.6031204,-9.626836,2
90847309,6449,4.06,-1.53,-2.88,-2.76,-2.64,8.33,9.34,-0.0818972699999999,0.1027752,0.03643585,-0.4162679,0.7409112,-9.800869,2
