TimeUS,RPM,Curr,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Guasto
69448173,6391,4.1,0.64,-1.93,-7.07,-8.46,357.34,356.41,0.2418856,-0.01671803,0.04558832,-0.4249323,0.6547764,-10.34081,1
69555965,6479,4.27,1.28,-0.64,-6.83,-7.86,357.35,356.79,0.2003572,0.1396059,0.08032425,-0.5015066,0.6568499,-9.972924,1
69681002,6389,4.23,1.77,0.3,-6.61,-7.12,357.35,357.37,0.1478308,0.05765478,0.09635179,-0.6272823,0.4775652,-10.28214,1
69781213,6471,4.03,1.67,0.87,-6.26,-6.8,357.37,357.82,0.1178424,-0.009123822,0.04931175,-0.3397244,0.276169,-10.26985,1
69885014,6470,4.33,1.74,0.69,-5.97,-6.51,357.37,358.06,-0.01604103,0.0719309,0.03019184,-0.8142379,0.3651062,-10.36217,1
70111044,6428,4.36,1.84,-1.41,-5.56,-4.96,357.39,357.9,-0.09361769,0.1159887,-0.03531754,-0.7637649,0.5511554,-10.1491,1
70212626,6444,3.9,2.0,-1.3,-5.58,-4.48,357.39,357.57,0.1589479,-0.0096541219999999,-0.0596384,-0.5197912,0.4967728,-9.777446,1
70328149,6462,3.62,1.56,-0.62,-5.44,-4.32,357.39,357.15,0.1710818,0.03577297,-0.06550925,-0.6369931,0.2583941,-10.02687,1
70436258,6169,3.77,0.3,-1.0,-5.05,-3.97,357.4,356.7,-0.1249512,-0.08013447,-0.1092241,-0.5184018,0.2353244,-9.489493,1
70658696,6163,3.88,-1.76,-3.46,-4.53,-2.65,357.39,355.55,-0.2435688,0.01297575,-0.05418755,-0.8405492,0.4850456,-10.00471,1
70767138,6328,3.75,-2.14,-4.05,-4.29,-2.57,357.38,355.04,-0.1104004,0.003445841,-0.07431048,-0.2789522,0.6653593,-9.332024,1
70879491,6072,3.39,-2.16,-3.44,-3.8,-3.01,357.36,354.64,0.05441596,-0.01614081,-0.0832629399999999,-0.7052186,0.5791259,-9.919318,1
