LineNo,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
7665,1.6915e+07,0,0,0,0,0,0.55,0.05,0,0,0.5,0.00096836,0.026677,0.1328
7706,1.6925e+07,0,0,0,0,0,0.55,0.05,0,0,0.5,0.00085809,0.025617,0.12974
7748,1.6938e+07,0,0,0,0,0,0.53,0.05,0,0,0.5,0.00058483,0.035021,0.15519
7789,1.6948e+07,0,0,0,0,0,0.54,0.05,0,0,0.5,0.00047858,0.033542,0.15107
7826,1.6958e+07,0,0,0,0,0,0.54,0.05,0,0,0.5,0.00047858,0.033542,0.15107
7868,1.6968e+07,0,0,0,0,0,0.54,0.05,0,0,0.5,0.00037286,0.032106,0.1471
7908,1.6978e+07,0,0,0,0,0,0.55,0.05,0,0,0.5,0.00028607,0.030735,0.14324
7949,1.6988e+07,0,0,0,0,0,0.55,0.05,0,0,0.5,0.00020708,0.029427,0.13957
7995,1.6998e+07,0,0,0,0,0,0.56,0.05,0,0,0.5,0.00013514,0.028179,0.13603
8037,1.7008e+07,0,0,0,0,0,0.56,0.05,0,0,0.5,0.00013514,0.028179,0.13603
8080,1.7019e+07,0,0,0,0,0,0.56,0.05,0,0,0.5,7.0652e-05,0.026986,0.13259
8120,1.7029e+07,0,0,0,0,0,0.57,0.05,0,0,0.5,1.8592e-05,0.025846,0.12927
8158,1.7039e+07,0,0,0,0,0,0.54,0.05,0,0,0.5,0.0010424,0.03518,0.15481
8195,1.7049e+07,0,0,0,0,0,0.55,0.05,0,0,0.5,0.0010811,0.033609,0.15043
8236,1.7059e+07,0,0,0,0,0,0.55,0.05,0,0,0.5,0.0011128,0.032108,0.14617
8276,1.7069e+07,0,0,0,0,0,0.55,0.05,0,0,0.5,0.0011128,0.032108,0.14617
8318,1.7079e+07,0,0,0,0,0,0.56,0.05,0,0,0.5,0.0011385,0.030679,0.14212
8360,1.7089e+07,0,0,0,0,0,0.56,0.05,0,0,0.5,0.0011586,0.029317,0.13819
8404,1.7099e+07,0,0,0,0,0,0.57,0.05,0,0,0.5,0.0011738,0.028015,0.13443
8445,1.7109e+07,0,0,0,0,0,0.57,0.05,0,0,0.5,0.0011738,0.028015,0.13443
8487,1.7119e+07,0,0,0,0,0,0.57,0.05,0,0,0.5,0.0011846,0.02677,0.13082
8528,1.7129e+07,0,0,0,0,0,0.58,0.05,0,0,0.5,0.0011911,0.025582,0.12731
8568,1.7139e+07,0,0,0,0,0,0.56,0.05,0,0,0.5,0.00070383,0.032413,0.14619
8608,1.7151e+07,0,0,0,0,0,0.56,0.05,0,0,0.5,0.00063789,0.030919,0.14189
8649,1.7161e+07,0,0,0,0,0,0.57,0.05,0,0,0.5,0.00058307,0.029491,0.13772
8689,1.7171e+07,0,0,0,0,0,0.57,0.05,0,0,0.5,0.00058307,0.029491,0.13772
8730,1.7181e+07,0,0,0,0,0,0.57,0.05,0,0,0.5,0.00051107,0.028133,0.13374
8771,1.7191e+07,0,0,0,0,0,0.58,0.05,0,0,0.5,0.00042359,0.026839,0.13002
8815,1.7201e+07,0,0,0,0,0,0.58,0.05,0,0,0.5,0.00035108,0.025601,0.12637
8856,1.7211e+07,0,0,0,0,0,0.59,0.05,0,0,0.5,0.00027708,0.024417,0.12283
8896,1.7222e+07,0,0,0,0,0,0.59,0.05,0,0,0.5,0.00020255,0.023288,0.11947
8938,1.7232e+07,0,0,0,0,0,0.59,0.05,0,0,0.5,0.00020255,0.023288,0.11947
8975,1.7242e+07,0,0,0,0,0,0.59,0.05,0,0,0.5,4.9361e-05,0.024213,0.12186
9013,1.7252e+07,0,0,0,0,0,0.6,0.05,0,0,0.5,9.1155e-05,0.023074,0.11848
9054,1.7262e+07,0,0,0,0,0,0.6,0.05,0,0,0.5,0.00013033,0.021984,0.11518
9094,1.7272e+07,0,0,0,0,0,0.6,0.05,0,0,0.5,0.00013033,0.021984,0.11518
9135,1.7282e+07,0,0,0,0,0,0.61,0.05,0,0,0.5,0.00016565,0.020949,0.11203
9175,1.7292e+07,0,0,0,0,0,0.61,0.05,0,0,0.5,0.00019676,0.019956,0.10896
9220,1.7302e+07,0,0,0,0,0,0.62,0.05,0,0,0.5,0.00022337,0.019009,0.10603
9255,1.7332e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00025954,0.017243,0.1004
9298,1.7342e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00053092,0.016423,0.097746
9335,1.7352e+07,0,0,0,0,0,0.61,0.05,0,0,0.5,0.00052902,0.026042,0.12507
9373,1.7362e+07,0,0,0,0,0,0.61,0.05,0,0,0.5,0.00052902,0.026042,0.12507
9414,1.7372e+07,0,0,0,0,0,0.61,0.05,0,0,0.5,0.00052425,0.024783,0.12121
9454,1.7382e+07,0,0,0,0,0,0.62,0.05,0,0,0.5,0.00051548,0.023583,0.1176
9496,1.7392e+07,0,0,0,0,0,0.62,0.05,0,0,0.5,0.00050579,0.02243,0.11408
9540,1.7402e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00049412,0.02133,0.11065
9581,1.7412e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00049412,0.02133,0.11065
9621,1.7422e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00048095,0.020282,0.10737
9664,1.7432e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00046637,0.019281,0.10421
9705,1.7442e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00046637,0.019281,0.10421
9742,1.7452e+07,0,0,0,0,0,0.61,0.05,0,0,0.5,0.00081376,0.028625,0.1311
9784,1.7465e+07,0,0,0,0,0,0.61,0.05,0,0,0.5,0.00078291,0.0272,0.12679
9825,1.7475e+07,0,0,0,0,0,0.62,0.05,0,0,0.5,0.00074568,0.025828,0.12274
9865,1.7485e+07,0,0,0,0,0,0.62,0.05,0,0,0.5,0.00071562,0.024514,0.11878
9906,1.7495e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00068549,0.023259,0.11495
9950,1.7505e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00068549,0.023259,0.11495
9994,1.7515e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00065631,0.022066,0.1113
10034,1.7525e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,0.00062762,0.020921,0.10772
10075,1.7535e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,0.00059963,0.019834,0.1043
10114,1.7545e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,0.00059963,0.019834,0.1043
10153,1.7555e+07,0,0,0,0,0,0.62,0.05,0,0,0.5,2.8926e-05,0.029059,0.13138
10194,1.7565e+07,0,0,0,0,0,0.62,0.05,0,0,0.5,3.3758e-05,0.027535,0.1268
10234,1.7575e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,7.651e-05,0.026085,0.12236
10276,1.7585e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00012114,0.024705,0.11819
10316,1.7595e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,0.00016465,0.023388,0.11417
10362,1.7605e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,0.00016465,0.023388,0.11417
10403,1.7615e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,0.00021502,0.022136,0.1104
10443,1.7625e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,0.00025489,0.020935,0.10663
10485,1.7635e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,0.00029298,0.019795,0.10306
10522,1.7648e+07,0,0,0,0,0,0.62,0.05,0,0,0.5,0.00011413,0.028901,0.13012
10564,1.7658e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00011514,0.027344,0.12537
10606,1.7668e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00011329,0.025861,0.12089
10647,1.7678e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00011329,0.025861,0.12089
10688,1.7688e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,0.00010834,0.024449,0.11648
10731,1.7698e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,0.00010051,0.023097,0.11224
10774,1.7709e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,8.9984e-05,0.021809,0.10831
10814,1.7719e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,8.9984e-05,0.021809,0.10831
10855,1.7729e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,7.881e-05,0.020578,0.10444
10898,1.7739e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,6.1989e-05,0.019409,0.10078
10938,1.7752e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00013497,0.028387,0.12761
10981,1.7762e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00012745,0.026811,0.12276
11021,1.7772e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,0.00012745,0.026811,0.12276
11062,1.7782e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,0.0001198,0.025308,0.11819
11102,1.7792e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,0.00011112,0.023871,0.11378
11150,1.7802e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,0.00010477,0.022501,0.10948
11191,1.7812e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,9.8931e-05,0.021195,0.10546
11231,1.7822e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,9.3745e-05,0.01995,0.10148
11273,1.7832e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,9.3745e-05,0.01995,0.10148
11313,1.7842e+07,0,0,0,0,0,0.66,0.05,0,0,0.5,8.9422e-05,0.018764,0.09769
11351,1.7852e+07,0,0,0,0,0,0.63,0.05,0,0,0.5,2.5794e-05,0.027651,0.12468
11392,1.7862e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,2.6764e-05,0.026064,0.11975
11436,1.7875e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,3.0783e-05,0.024553,0.11514
11477,1.7885e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,3.0783e-05,0.024553,0.11514
11519,1.7895e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,3.4219e-05,0.0231,0.11055
11564,1.7905e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,3.9227e-05,0.021719,0.10616
11605,1.7915e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,4.4551e-05,0.020402,0.10203
11645,1.7925e+07,0,0,0,0,0,0.66,0.05,0,0,0.5,4.9955e-05,0.019151,0.097995
11686,1.7935e+07,0,0,0,0,0,0.66,0.05,0,0,0.5,4.9955e-05,0.019151,0.097995
11728,1.7945e+07,0,0,0,0,0,0.66,0.05,0,0,0.5,5.5225e-05,0.017957,0.094113
11766,1.7955e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,0.00016403,0.024751,0.11499
11807,1.7965e+07,0,0,0,0,0,0.64,0.05,0,0,0.5,0.00016437,0.023258,0.11027
11850,1.7976e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,0.00016571,0.021837,0.10585
11891,1.7985e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,0.00016772,0.020482,0.10156
11931,1.7996e+07,0,0,0,0,0,0.65,0.05,0,0,0.5,0.00016772,0.020482,0.10156
