LineNo,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
13557,1.8403e+07,0.89728,0.93537,1,0.020911,2
13601,1.8413e+07,0.89728,0.93537,1,0.020911,2
13641,1.8423e+07,0.89727,0.93536,1,0.020911,2
13682,1.8433e+07,0.89727,0.93536,1,0.020911,2
13723,1.8443e+07,0.89726,0.93536,1,0.020911,2
13761,1.8453e+07,0.89726,0.93535,1,0.020911,2
13801,1.8463e+07,0.89726,0.93535,1,0.020911,2
13839,1.8473e+07,0.89725,0.93535,1,0.020911,2
13880,1.8483e+07,0.89725,0.93535,1,0.020911,2
13922,1.8493e+07,0.89724,0.93534,1,0.020911,2
13964,1.8503e+07,0.89724,0.93534,1,0.020911,2
14009,1.8514e+07,0.89724,0.93534,1,0.020911,2
14050,1.8523e+07,0.89725,0.93535,1,0.020911,2
14093,1.8533e+07,0.89725,0.93535,1,0.020911,2
14133,1.8544e+07,0.89726,0.93535,1,0.020911,2
14174,1.8556e+07,0.89727,0.93536,1,0.020911,2
14215,1.8567e+07,0.89727,0.93536,1,0.020911,2
14256,1.8577e+07,0.89728,0.93537,1,0.020911,2
14296,1.8586e+07,0.89728,0.93537,1,0.020911,2
14338,1.8597e+07,0.89729,0.93537,1,0.020911,2
14382,1.8606e+07,0.89729,0.93537,1,0.020911,2
14425,1.8616e+07,0.8973,0.93538,1,0.020911,2
14466,1.8627e+07,0.8973,0.93538,1,0.020911,2
14506,1.8637e+07,0.89731,0.93538,1,0.020911,2
14548,1.8647e+07,0.89731,0.93539,1,0.020911,2
14585,1.8657e+07,0.89731,0.93539,1,0.020911,2
14627,1.8668e+07,0.89732,0.93539,1,0.020911,2
14668,1.8678e+07,0.89732,0.93539,1,0.020911,2
14708,1.8688e+07,0.89732,0.9354,1,0.020911,2
14749,1.8697e+07,0.89733,0.9354,1,0.020911,2
14793,1.8708e+07,0.89733,0.9354,1,0.020911,2
14835,1.8718e+07,0.89735,0.93541,1,0.020911,2
14876,1.8728e+07,0.89736,0.93542,1,0.020911,2
14919,1.8739e+07,0.89737,0.93543,1,0.020911,2
14961,1.8748e+07,0.89739,0.93544,1,0.020911,2
14995,1.8758e+07,0.8974,0.93544,1,0.020911,2
15035,1.8768e+07,0.89741,0.93545,1,0.020911,2
15075,1.8779e+07,0.89742,0.93546,1,0.020911,2
15115,1.8789e+07,0.89744,0.93547,1,0.020911,2
15157,1.8799e+07,0.89745,0.93548,1,0.020911,2
