LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
1.0038e+05,3.9228e+07,0,184,-60,349,43,-7,144,0,0,0,1,3.9228e+07
1.0082e+05,3.9333e+07,0,186,-55,348,43,-7,144,0,0,0,1,3.9333e+07
1.0127e+05,3.9438e+07,0,186,-51,348,43,-7,144,0,0,0,1,3.9438e+07
1.0172e+05,3.9544e+07,0,179,-37,351,43,-7,144,0,0,0,1,3.9544e+07
1.0217e+05,3.9648e+07,0,182,-30,352,43,-7,144,0,0,0,1,3.9648e+07
1.0258e+05,3.9753e+07,0,190,-22,355,43,-7,144,0,0,0,1,3.9753e+07
1.0303e+05,3.9857e+07,0,189,-23,349,43,-7,144,0,0,0,1,3.9857e+07
1.0345e+05,3.9963e+07,0,190,-11,347,43,-7,144,0,0,0,1,3.9963e+07
1.0389e+05,4.0068e+07,0,192,-14,347,43,-7,144,0,0,0,1,4.0068e+07
1.0434e+05,4.0173e+07,0,194,-46,351,43,-7,144,0,0,0,1,4.0173e+07
1.0478e+05,4.0279e+07,0,182,-17,348,43,-7,144,0,0,0,1,4.0279e+07
1.052e+05,4.0384e+07,0,187,-26,356,43,-7,144,0,0,0,1,4.0384e+07
1.0565e+05,4.0489e+07,0,188,-36,349,43,-7,144,0,0,0,1,4.0489e+07
1.0606e+05,4.0595e+07,0,180,-40,353,43,-7,144,0,0,0,1,4.0595e+07
1.0651e+05,4.0701e+07,0,185,-36,356,43,-7,144,0,0,0,1,4.0701e+07
1.0696e+05,4.0807e+07,0,180,-37,350,43,-7,144,0,0,0,1,4.0807e+07
1.074e+05,4.0913e+07,0,180,-27,352,43,-7,144,0,0,0,1,4.0913e+07
1.0785e+05,4.1018e+07,0,185,-29,353,43,-7,144,0,0,0,1,4.1018e+07
1.083e+05,4.1125e+07,0,178,-36,354,43,-7,144,0,0,0,1,4.1125e+07
1.0874e+05,4.123e+07,0,180,-51,349,43,-7,144,0,0,0,1,4.123e+07
1.0919e+05,4.1336e+07,0,181,-65,351,43,-7,144,0,0,0,1,4.1336e+07
1.0964e+05,4.144e+07,0,176,-80,345,43,-7,144,0,0,0,1,4.144e+07
1.1005e+05,4.1544e+07,0,183,-84,349,43,-7,144,0,0,0,1,4.1544e+07
1.105e+05,4.1649e+07,0,181,-79,346,43,-7,144,0,0,0,1,4.1649e+07
1.1094e+05,4.1755e+07,0,184,-81,345,43,-7,144,0,0,0,1,4.1755e+07
1.1139e+05,4.186e+07,0,181,-72,349,43,-7,144,0,0,0,1,4.186e+07
1.1184e+05,4.1964e+07,0,181,-53,353,43,-7,144,0,0,0,1,4.1964e+07
