LineNo,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
1.6305e+05,5.4277e+07,43.601,13.482,89.19,4.2057,4.2057
1.631e+05,5.4287e+07,43.601,13.482,89.19,4.2053,4.2053
1.6315e+05,5.4297e+07,43.601,13.482,89.19,4.2041,4.2041
1.6319e+05,5.4306e+07,43.601,13.482,89.19,4.2029,4.2029
1.6324e+05,5.4317e+07,43.601,13.482,89.19,4.2019,4.2019
1.6328e+05,5.4327e+07,43.601,13.482,89.19,4.2009,4.2009
1.6333e+05,5.4337e+07,43.601,13.482,89.19,4.2007,4.2007
1.6337e+05,5.435e+07,43.601,13.482,89.17,4.1999,4.1999
1.6341e+05,5.436e+07,43.601,13.482,89.17,4.1988,4.1988
1.6346e+05,5.437e+07,43.601,13.482,89.17,4.1978,4.1978
1.635e+05,5.438e+07,43.601,13.482,89.17,4.1969,4.1969
1.6355e+05,5.439e+07,43.601,13.482,89.17,4.1961,4.1961
1.636e+05,5.4401e+07,43.601,13.482,89.17,4.1962,4.1962
1.6364e+05,5.4411e+07,43.601,13.482,89.17,4.1955,4.1955
1.6369e+05,5.4421e+07,43.601,13.482,89.17,4.1947,4.1947
1.6373e+05,5.4431e+07,43.601,13.482,89.17,4.1941,4.1941
1.6377e+05,5.4443e+07,43.601,13.482,89.17,4.1934,4.1934
1.6382e+05,5.4457e+07,43.601,13.482,89.17,4.1923,4.1923
1.6386e+05,5.447e+07,43.601,13.482,89.17,4.1912,4.1912
1.6391e+05,5.448e+07,43.601,13.482,89.17,4.1901,4.1901
1.6396e+05,5.449e+07,43.601,13.482,89.17,4.1891,4.1891
1.64e+05,5.45e+07,43.601,13.482,89.17,4.1881,4.1881
1.6405e+05,5.451e+07,43.601,13.482,89.17,4.1871,4.1871
1.6409e+05,5.452e+07,43.601,13.482,89.17,4.1872,4.1872
1.6414e+05,5.4531e+07,43.601,13.482,89.17,4.1862,4.1862
1.6418e+05,5.4541e+07,43.601,13.482,89.15,4.1853,4.1853
1.6423e+05,5.4557e+07,43.601,13.482,89.15,4.1845,4.1845
1.6427e+05,5.4567e+07,43.601,13.482,89.15,4.185,4.185
1.6432e+05,5.4578e+07,43.601,13.482,89.15,4.1855,4.1855
1.6436e+05,5.4589e+07,43.601,13.482,89.15,4.186,4.186
1.644e+05,5.4599e+07,43.601,13.482,89.15,4.1865,4.1865
1.6445e+05,5.4609e+07,43.601,13.482,89.15,4.1866,4.1866
1.645e+05,5.4619e+07,43.601,13.482,89.15,4.1871,4.1871
1.6454e+05,5.4629e+07,43.601,13.482,89.15,4.1875,4.1875
1.6459e+05,5.4639e+07,43.601,13.482,89.15,4.188,4.188
1.6464e+05,5.4652e+07,43.601,13.482,89.15,4.189,4.189
1.6468e+05,5.467e+07,43.601,13.482,89.15,4.1901,4.1901
1.6472e+05,5.468e+07,43.601,13.482,89.15,4.191,4.191
1.6477e+05,5.469e+07,43.601,13.482,89.15,4.1919,4.1919
1.6482e+05,5.47e+07,43.601,13.482,89.15,4.1928,4.1928
1.6486e+05,5.4711e+07,43.601,13.482,89.15,4.1936,4.1936
1.6491e+05,5.4721e+07,43.601,13.482,89.15,4.1944,4.1944
1.6496e+05,5.4731e+07,43.601,13.482,89.17,4.1945,4.1945
1.65e+05,5.4741e+07,43.601,13.482,89.17,4.1954,4.1954
1.6505e+05,5.4751e+07,43.601,13.482,89.17,4.1961,4.1961
1.6509e+05,5.4765e+07,43.601,13.482,89.17,4.197,4.197
1.6514e+05,5.4776e+07,43.601,13.482,89.17,4.1981,4.1981
1.6518e+05,5.4786e+07,43.601,13.482,89.17,4.1993,4.1993
1.6522e+05,5.4798e+07,43.601,13.482,89.17,4.2004,4.2004
1.6527e+05,5.4808e+07,43.601,13.482,89.17,4.2014,4.2014
1.6531e+05,5.4818e+07,43.601,13.482,89.17,4.2016,4.2016
1.6536e+05,5.4829e+07,43.601,13.482,89.17,4.2027,4.2027
1.6541e+05,5.4839e+07,43.601,13.482,89.17,4.2036,4.2036
1.6545e+05,5.4849e+07,43.601,13.482,89.17,4.2046,4.2046
1.655e+05,5.4862e+07,43.601,13.482,89.17,4.2057,4.2057
