LineNo,TimeUS,C15,C16,C17,C18
14629,1.8668e+07,0,0,0,0
14670,1.8678e+07,0,0,0,0
14710,1.8688e+07,0,0,0,0
14751,1.8697e+07,0,0,0,0
14795,1.8708e+07,0,0,0,0
14837,1.8718e+07,0,0,0,0
14878,1.8729e+07,0,0,0,0
14921,1.8739e+07,0,0,0,0
14963,1.8748e+07,0,0,0,0
14997,1.8758e+07,0,0,0,0
15037,1.8768e+07,0,0,0,0
15077,1.8779e+07,0,0,0,0
15117,1.8789e+07,0,0,0,0
15159,1.8799e+07,0,0,0,0
15204,1.8809e+07,0,0,0,0
15247,1.8819e+07,0,0,0,0
15288,1.8829e+07,0,0,0,0
15330,1.8839e+07,0,0,0,0
15370,1.8849e+07,0,0,0,0
15405,1.8859e+07,0,0,0,0
15446,1.8869e+07,0,0,0,0
15486,1.8879e+07,0,0,0,0
15527,1.8889e+07,0,0,0,0
15569,1.89e+07,0,0,0,0
15612,1.891e+07,0,0,0,0
15654,1.892e+07,0,0,0,0
15694,1.893e+07,0,0,0,0
15738,1.894e+07,0,0,0,0
15779,1.8953e+07,0,0,0,0
15820,1.8963e+07,0,0,0,0
15857,1.8973e+07,0,0,0,0
15898,1.8983e+07,0,0,0,0
15941,1.8993e+07,0,0,0,0
15981,1.9003e+07,0,0,0,0
16027,1.9013e+07,0,0,0,0
16067,1.9023e+07,0,0,0,0
16108,1.9033e+07,0,0,0,0
16151,1.9043e+07,0,0,0,0
16188,1.9056e+07,0,0,0,0
16229,1.9066e+07,0,0,0,0
16269,1.9076e+07,0,0,0,0
16310,1.9086e+07,0,0,0,0
16352,1.9096e+07,0,0,0,0
16393,1.9106e+07,0,0,0,0
16438,1.9116e+07,0,0,0,0
16478,1.9126e+07,0,0,0,0
16520,1.9136e+07,0,0,0,0
16563,1.9146e+07,0,0,0,0
16604,1.9161e+07,0,0,0,0
16644,1.9172e+07,0,0,0,0
16686,1.9182e+07,0,0,0,0
16727,1.9192e+07,0,0,0,0
16767,1.9202e+07,0,0,0,0
16811,1.9213e+07,0,0,0,0
16852,1.9222e+07,0,0,0,0
16894,1.9233e+07,0,0,0,0
16935,1.9243e+07,0,0,0,0
16975,1.9253e+07,0,0,0,0
17013,1.9266e+07,0,0,0,0
17058,1.9278e+07,0,0,0,0
17099,1.9289e+07,0,0,0,0
17140,1.9298e+07,0,0,0,0
17180,1.9308e+07,0,0,0,0
17228,1.9321e+07,0,0,0,0
17272,1.9331e+07,0,0,0,0
17312,1.9341e+07,0,0,0,0
17353,1.9354e+07,0,0,0,0
17390,1.9364e+07,0,0,0,0
17431,1.9374e+07,0,0,0,0
17474,1.9384e+07,0,0,0,0
17514,1.9393e+07,0,0,0,0
17556,1.9404e+07,0,0,0,0
17599,1.9414e+07,0,0,0,0
17641,1.9424e+07,0,0,0,0
17681,1.9434e+07,0,0,0,0
17722,1.9444e+07,0,0,0,0
17763,1.9456e+07,0,0,0,0
17804,1.9467e+07,0,0,0,0
17845,1.9477e+07,0,0,0,0
17887,1.9487e+07,0,0,0,0
17929,1.9496e+07,0,0,0,0
17970,1.9506e+07,0,0,0,0
18015,1.9517e+07,0,0,0,0
18058,1.9527e+07,0,0,0,0
18098,1.9536e+07,0,0,0,0
18139,1.9547e+07,0,0,0,0
18179,1.956e+07,0,0,0,0
18221,1.957e+07,0,0,0,0
18262,1.958e+07,0,0,0,0
18299,1.959e+07,0,0,0,0
18341,1.96e+07,0,0,0,0
18382,1.961e+07,0,0,0,0
18428,1.962e+07,0,0,0,0
18469,1.963e+07,0,0,0,0
18509,1.964e+07,0,0,0,0
18550,1.965e+07,0,0,0,0
18590,1.966e+07,0,0,0,0
18626,1.967e+07,0,0,0,0
18668,1.968e+07,0,0,0,0
18708,1.969e+07,0,0,0,0
18749,1.97e+07,0,0,0,0
18792,1.971e+07,0,0,0,0
18836,1.972e+07,0,0,0,0
18878,1.973e+07,0,0,0,0
18919,1.974e+07,0,0,0,0
18959,1.975e+07,0,0,0,0
19001,1.976e+07,0,0,0,0
19039,1.977e+07,0,0,0,0
19079,1.9781e+07,0,0,0,0
19120,1.9791e+07,0,0,0,0
19160,1.98e+07,0,0,0,0
19203,1.9811e+07,0,0,0,0
19249,1.9821e+07,0,0,0,0
19290,1.983e+07,0,0,0,0
19331,1.9841e+07,0,0,0,0
19371,1.985e+07,0,0,0,0
19413,1.9863e+07,0,0,0,0
19453,1.9873e+07,0,0,0,0
19494,1.9883e+07,0,0,0,0
19535,1.9893e+07,0,0,0,0
19576,1.9903e+07,0,0,0,0
19624,1.9915e+07,0,0,0,0
19665,1.9925e+07,0,0,0,0
19708,1.9935e+07,0,0,0,0
19749,1.9945e+07,0,0,0,0
19787,1.9955e+07,0,0,0,0
19825,1.9965e+07,0,0,0,0
19866,1.9976e+07,0,0,0,0
19909,1.9985e+07,0,0,0,0
19949,1.9996e+07,0,0,0,0
19991,2.0005e+07,0,0,0,0
20035,2.0015e+07,0,0,0,0
20077,2.0026e+07,0,0,0,0
20118,2.0035e+07,0,0,0,0
20158,2.0046e+07,0,0,0,0
20199,2.0055e+07,0,0,0,0
20234,2.0065e+07,0,0,0,0
20275,2.0075e+07,0,0,0,0
20316,2.0085e+07,0,0,0,0
20356,2.0096e+07,0,0,0,0
20398,2.0105e+07,0,0,0,0
20443,2.0115e+07,0,0,0,0
20484,2.0126e+07,0,0,0,0
20526,2.0135e+07,0,0,0,0
20566,2.0145e+07,0,0,0,0
20610,2.0158e+07,0,0,0,0
20647,2.0168e+07,0,0,0,0
20687,2.0178e+07,0,0,0,0
20727,2.0188e+07,0,0,0,0
20768,2.0198e+07,0,0,0,0
20809,2.0208e+07,0,0,0,0
20853,2.0218e+07,0,0,0,0
20895,2.0228e+07,0,0,0,0
20936,2.0238e+07,0,0,0,0
20977,2.0248e+07,0,0,0,0
21018,2.026e+07,0,0,0,0
21056,2.0271e+07,0,0,0,0
21097,2.028e+07,0,0,0,0
21137,2.029e+07,0,0,0,0
21179,2.0301e+07,0,0,0,0
21219,2.031e+07,0,0,0,0
21266,2.0321e+07,0,0,0,0
21307,2.033e+07,0,0,0,0
21349,2.034e+07,0,0,0,0
21392,2.0351e+07,0,0,0,0
21429,2.036e+07,0,0,0,0
21466,2.037e+07,0,0,0,0
21507,2.0381e+07,0,0,0,0
21547,2.039e+07,0,0,0,0
21588,2.0401e+07,0,0,0,0
21629,2.0411e+07,0,0,0,0
21674,2.042e+07,0,0,0,0
21715,2.0431e+07,0,0,0,0
21755,2.0441e+07,0,0,0,0
21798,2.0451e+07,0,0,0,0
21835,2.0463e+07,0,0,0,0
21875,2.0474e+07,0,0,0,0
21918,2.0484e+07,0,0,0,0
21958,2.0494e+07,0,0,0,0
22000,2.0503e+07,0,0,0,0
22040,2.0514e+07,0,0,0,0
22086,2.0524e+07,0,0,0,0
22128,2.0534e+07,0,0,0,0
22169,2.0544e+07,0,0,0,0
22210,2.0554e+07,0,0,0,0
22252,2.0566e+07,0,0,0,0
22290,2.0576e+07,0,0,0,0
22330,2.0587e+07,0,0,0,0
22371,2.0596e+07,0,0,0,0
22411,2.0606e+07,0,0,0,0
22457,2.0617e+07,0,0,0,0
22499,2.0627e+07,0,0,0,0
22539,2.0636e+07,0,0,0,0
22580,2.0646e+07,0,0,0,0
22622,2.0657e+07,0,0,0,0
22663,2.0667e+07,0,0,0,0
22700,2.0676e+07,0,0,0,0
22738,2.0686e+07,0,0,0,0
22780,2.0696e+07,0,0,0,0
22820,2.0707e+07,0,0,0,0
22865,2.0717e+07,0,0,0,0
22906,2.0727e+07,0,0,0,0
22950,2.0737e+07,0,0,0,0
22990,2.0747e+07,0,0,0,0
23032,2.076e+07,0,0,0,0
23073,2.077e+07,0,0,0,0
23110,2.078e+07,0,0,0,0
23151,2.079e+07,0,0,0,0
23191,2.08e+07,0,0,0,0
23233,2.081e+07,0,0,0,0
23279,2.082e+07,0,0,0,0
23320,2.083e+07,0,0,0,0
23361,2.084e+07,0,0,0,0
23401,2.085e+07,0,0,0,0
23444,2.086e+07,0,0,0,0
23484,2.0872e+07,0,0,0,0
23525,2.0882e+07,0,0,0,0
23566,2.0892e+07,0,0,0,0
23609,2.0903e+07,0,0,0,0
23650,2.0912e+07,0,0,0,0
23694,2.0922e+07,0,0,0,0
23735,2.0932e+07,0,0,0,0
23777,2.0942e+07,0,0,0,0
23819,2.0952e+07,0,0,0,0
23860,2.0962e+07,0,0,0,0
23901,2.0972e+07,0,0,0,0
23944,2.0984e+07,0,0,0,0
23984,2.0995e+07,0,0,0,0
24025,2.1005e+07,0,0,0,0
24067,2.1014e+07,0,0,0,0
24111,2.1024e+07,0,0,0,0
24152,2.1035e+07,0,0,0,0
24193,2.1045e+07,0,0,0,0
24234,2.1055e+07,0,0,0,0
24271,2.1064e+07,0,0,0,0
24316,2.108e+07,0,0,0,0
24357,2.109e+07,0,0,0,0
24398,2.11e+07,0,0,0,0
24440,2.111e+07,0,0,0,0
24485,2.112e+07,0,0,0,0
24525,2.113e+07,0,0,0,0
24569,2.1141e+07,0,0,0,0
24609,2.115e+07,0,0,0,0
24650,2.116e+07,0,0,0,0
24687,2.117e+07,0,0,0,0
24728,2.118e+07,0,0,0,0
24770,2.1191e+07,0,0,0,0
24810,2.1201e+07,0,0,0,0
24852,2.1211e+07,0,0,0,0
24896,2.1221e+07,0,0,0,0
24937,2.1231e+07,0,0,0,0
24977,2.1241e+07,0,0,0,0
25019,2.1251e+07,0,0,0,0
25060,2.1261e+07,0,0,0,0
25100,2.1273e+07,0,0,0,0
25142,2.1284e+07,0,0,0,0
25183,2.1294e+07,0,0,0,0
25224,2.1304e+07,0,0,0,0
25265,2.1314e+07,0,0,0,0
25309,2.1324e+07,0,0,0,0
25351,2.1334e+07,0,0,0,0
25393,2.1344e+07,0,0,0,0
25434,2.1354e+07,0,0,0,0
25477,2.1366e+07,0,0,0,0
25515,2.1377e+07,0,0,0,0
25556,2.1387e+07,0,0,0,0
25598,2.1397e+07,0,0,0,0
25639,2.1407e+07,0,0,0,0
25679,2.1417e+07,0,0,0,0
25724,2.1426e+07,0,0,0,0
25766,2.1437e+07,0,0,0,0
25806,2.1446e+07,0,0,0,0
25850,2.1459e+07,0,0,0,0
25890,2.147e+07,0,0,0,0
25930,2.148e+07,0,0,0,0
25972,2.149e+07,0,0,0,0
26013,2.15e+07,0,0,0,0
26054,2.151e+07,0,0,0,0
26098,2.152e+07,0,0,0,0
26142,2.153e+07,0,0,0,0
26182,2.154e+07,0,0,0,0
26223,2.155e+07,0,0,0,0
26264,2.156e+07,0,0,0,0
26304,2.157e+07,0,0,0,0
26343,2.1583e+07,0,0,0,0
26384,2.1593e+07,0,0,0,0
26424,2.1603e+07,0,0,0,0
26468,2.1613e+07,0,0,0,0
26513,2.1623e+07,0,0,0,0
26555,2.1633e+07,0,0,0,0
26595,2.1643e+07,0,0,0,0
26636,2.1653e+07,0,0,0,0
26676,2.1663e+07,0,0,0,0
26714,2.1673e+07,0,0,0,0
26752,2.1684e+07,0,0,0,0
26793,2.1694e+07,0,0,0,0
26834,2.1704e+07,0,0,0,0
26876,2.1714e+07,0,0,0,0
26926,2.1726e+07,0,0,0,0
26966,2.1736e+07,0,0,0,0
27007,2.1746e+07,0,0,0,0
27049,2.1756e+07,0,0,0,0
27089,2.1766e+07,0,0,0,0
27131,2.1776e+07,0,0,0,0
27169,2.1786e+07,0,0,0,0
27210,2.1796e+07,0,0,0,0
27251,2.1806e+07,0,0,0,0
27292,2.1816e+07,0,0,0,0
27340,2.1826e+07,0,0,0,0
27380,2.1836e+07,0,0,0,0
27422,2.1846e+07,0,0,0,0
27462,2.1856e+07,0,0,0,0
27503,2.1866e+07,0,0,0,0
27544,2.1876e+07,0,0,0,0
27581,2.1886e+07,0,0,0,0
27623,2.1896e+07,0,0,0,0
27664,2.1907e+07,0,0,0,0
27704,2.1916e+07,0,0,0,0
27752,2.1927e+07,0,0,0,0
27792,2.1936e+07,0,0,0,0
27833,2.1946e+07,0,0,0,0
27874,2.1957e+07,0,0,0,0
27912,2.1969e+07,0,0,0,0
27954,2.1979e+07,0,0,0,0
27995,2.199e+07,0,0,0,0
28036,2.2e+07,0,0,0,0
28077,2.2009e+07,0,0,0,0
28118,2.2019e+07,0,0,0,0
28163,2.203e+07,0,0,0,0
28204,2.2039e+07,0,0,0,0
28244,2.205e+07,0,0,0,0
28286,2.2059e+07,0,0,0,0
28324,2.2069e+07,0,0,0,0
28364,2.208e+07,0,0,0,0
28402,2.209e+07,0,0,0,0
28442,2.21e+07,0,0,0,0
28484,2.211e+07,0,0,0,0
28524,2.212e+07,0,0,0,0
28573,2.2131e+07,0,0,0,0
28623,2.2141e+07,0,0,0,0
28667,2.2151e+07,0,0,0,0
28712,2.2164e+07,0,0,0,0
28759,2.2177e+07,0,0,0,0
28804,2.2187e+07,0,0,0,0
28850,2.2197e+07,0,0,0,0
28891,2.2207e+07,0,0,0,0
28936,2.2217e+07,0,0,0,0
28985,2.2227e+07,0,0,0,0
29030,2.2238e+07,0,0,0,0
29076,2.2248e+07,0,0,0,0
29120,2.2258e+07,0,0,0,0
29165,2.2268e+07,0,0,0,0
29203,2.2279e+07,0,0,0,0
29251,2.2291e+07,0,0,0,0
29295,2.2302e+07,0,0,0,0
29340,2.2312e+07,0,0,0,0
29385,2.2322e+07,0,0,0,0
29434,2.2333e+07,0,0,0,0
29482,2.2343e+07,0,0,0,0
29526,2.2353e+07,0,0,0,0
29571,2.2363e+07,0,0,0,0
29613,2.2373e+07,0,0,0,0
29657,2.2383e+07,0,0,0,0
29699,2.2393e+07,0,0,0,0
29743,2.2403e+07,0,0,0,0
29791,2.2415e+07,0,0,0,0
29836,2.2426e+07,0,0,0,0
29885,2.2436e+07,0,0,0,0
29930,2.2446e+07,0,0,0,0
29974,2.2456e+07,0,0,0,0
30016,2.2466e+07,0,0,0,0
30062,2.2478e+07,0,0,0,0
30108,2.2489e+07,0,0,0,0
30153,2.2499e+07,0,0,0,0
30197,2.2509e+07,0,0,0,0
30243,2.252e+07,0,0,0,0
30292,2.253e+07,0,0,0,0
30338,2.254e+07,0,0,0,0
30383,2.255e+07,0,0,0,0
30427,2.256e+07,0,0,0,0
30472,2.2573e+07,0,0,0,0
30516,2.2583e+07,0,0,0,0
30560,2.2593e+07,0,0,0,0
30605,2.2603e+07,0,0,0,0
30649,2.2614e+07,0,0,0,0
30695,2.2624e+07,0,0,0,0
30745,2.2634e+07,0,0,0,0
30789,2.2644e+07,0,0,0,0
30834,2.2654e+07,0,0,0,0
30878,2.2664e+07,0,0,0,0
30923,2.2677e+07,0,0,0,0
30966,2.2687e+07,0,0,0,0
31011,2.2697e+07,0,0,0,0
31056,2.2708e+07,0,0,0,0
31100,2.2718e+07,0,0,0,0
31151,2.2731e+07,0,0,0,0
31199,2.2741e+07,0,0,0,0
31244,2.2751e+07,0,0,0,0
31288,2.2761e+07,0,0,0,0
31333,2.2771e+07,0,0,0,0
31372,2.2782e+07,0,0,0,0
31416,2.2793e+07,0,0,0,0
31461,2.2803e+07,0,0,0,0
31508,2.2813e+07,0,0,0,0
31553,2.2823e+07,0,0,0,0
31597,2.2833e+07,0,0,0,0
31648,2.2843e+07,0,0,0,0
31693,2.2853e+07,0,0,0,0
31738,2.2863e+07,0,0,0,0
31783,2.2874e+07,0,0,0,0
31824,2.2884e+07,0,0,0,0
31869,2.2894e+07,0,0,0,0
31911,2.2905e+07,0,0,0,0
31956,2.2915e+07,0,0,0,0
32002,2.2925e+07,0,0,0,0
32048,2.2935e+07,0,0,0,0
32097,2.2946e+07,0,0,0,0
