LineNo,TimeUS,C,AX,AY,AZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,IDX,IDY,IS
11524,1.7895e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11569,1.7905e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11610,1.7915e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11650,1.7925e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11691,1.7935e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11733,1.7945e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11771,1.7955e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11812,1.7965e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11855,1.7976e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11896,1.7985e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11938,1.7996e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11983,1.8006e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12023,1.8016e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12065,1.8026e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12109,1.8041e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12150,1.8051e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12190,1.8061e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12233,1.8071e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12273,1.8081e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12315,1.8091e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12358,1.8101e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12400,1.8111e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12446,1.8123e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12486,1.8133e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12531,1.8146e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12568,1.8156e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12609,1.8167e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12650,1.8177e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12692,1.8187e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12733,1.8197e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12777,1.8207e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12818,1.8217e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12858,1.8227e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12900,1.8237e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12938,1.8247e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
12975,1.8257e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13016,1.8267e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13057,1.8277e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13099,1.8287e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13139,1.8298e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13184,1.8307e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13224,1.8317e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13267,1.8327e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13308,1.8338e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13346,1.8351e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13386,1.8361e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13427,1.8371e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13469,1.8381e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13509,1.8391e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13551,1.8401e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13595,1.8411e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13635,1.8421e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13676,1.8431e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13717,1.8441e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13755,1.8451e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13795,1.8461e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13833,1.8472e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13874,1.8482e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13916,1.8492e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
13958,1.8502e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14003,1.8511e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14044,1.8522e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14087,1.8532e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14127,1.8542e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14168,1.8555e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14209,1.8564e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14250,1.8575e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14290,1.8585e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14332,1.8595e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14376,1.8605e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14419,1.8615e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14460,1.8625e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14500,1.8635e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14542,1.8645e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
14579,1.8655e+07,1,0,0,0,0,0,176,0,359,0,0,0,0,0,0
