LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
11268,1.7833e+07,-6.7372,-6.7372,0,0,-209.11,0,0,1,0,1
11308,1.7843e+07,10.096,10.096,0,0,-209.11,0,0,1,0,1
11346,1.7854e+07,-9.0047,-9.0047,0,0,-209.11,0,0,1,0,1
11387,1.7863e+07,7.8264,7.8264,0,0,-209.11,0,0,1,0,1
11431,1.7876e+07,-11.088,-11.088,0,0,-209.11,0,0,1,0,1
11472,1.7886e+07,16.15,16.15,0,0,-209.11,0,0,1,0,1
11514,1.7896e+07,-13.493,-13.493,0,0,-209.11,0,0,1,0,1
11559,1.7906e+07,19.456,19.456,0,0,-209.11,0,0,1,0,1
11600,1.7916e+07,-17.995,-17.995,0,0,-209.11,0,0,1,0,1
11640,1.7926e+07,14.377,14.377,0,0,-209.11,0,0,1,0,1
11681,1.7936e+07,-12.593,-12.593,0,0,-209.11,0,0,1,0,1
11723,1.7946e+07,15.212,15.212,0,0,-209.11,0,0,1,0,1
11761,1.7956e+07,-10.873,-10.873,0,0,-209.11,0,0,1,0,1
11802,1.7967e+07,14.221,14.221,0,0,-209.11,0,0,1,0,1
11845,1.7977e+07,-9.6803,-9.6803,0,0,-209.11,0,0,1,0,1
11886,1.7987e+07,13.467,13.467,0,0,-209.11,0,0,1,0,1
11926,1.7997e+07,-13.32,-13.32,0,0,-209.11,0,0,1,0,1
11973,1.8007e+07,10.358,10.358,0,0,-209.11,0,0,1,0,1
12013,1.8017e+07,-15.234,-15.234,0,0,-209.11,0,0,1,0,1
12055,1.8027e+07,11.197,11.197,0,0,-209.11,0,0,1,0,1
12099,1.8042e+07,15.574,15.574,0,0,-209.11,0,0,1,0,1
12140,1.8052e+07,-5.7627,-5.7627,0,0,-209.11,0,0,1,0,1
12180,1.8063e+07,13.89,13.89,0,0,-209.11,0,0,1,0,1
12223,1.8072e+07,-8.5178,-8.5178,0,0,-209.11,0,0,1,0,1
