LineNo,TimeUS,C,MI,BI,GI,AI,SS
14286,1.8585e+07,0,0,0,0,0,0
14328,1.8595e+07,0,0,0,0,0,0
14372,1.8605e+07,0,0,0,0,0,0
14415,1.8615e+07,0,0,0,0,0,0
14456,1.8625e+07,0,0,0,0,0,0
14496,1.8635e+07,0,0,0,0,0,0
14538,1.8645e+07,0,0,0,0,0,0
14575,1.8655e+07,0,0,0,0,0,0
14617,1.8666e+07,0,0,0,0,0,0
14658,1.8676e+07,0,0,0,0,0,0
14698,1.8686e+07,0,0,0,0,0,0
14739,1.8696e+07,0,0,0,0,0,0
14783,1.8706e+07,0,0,0,0,0,0
14825,1.8716e+07,0,0,0,0,0,0
14866,1.8726e+07,0,0,0,0,0,0
14909,1.8736e+07,0,0,0,0,0,0
14951,1.8746e+07,0,0,0,0,0,0
14985,1.8757e+07,0,0,0,0,0,0
15025,1.8766e+07,0,0,0,0,0,0
15065,1.8776e+07,0,0,0,0,0,0
15105,1.8787e+07,0,0,0,0,0,0
15147,1.8797e+07,0,0,0,0,0,0
15192,1.8807e+07,0,0,0,0,0,0
15235,1.8817e+07,0,0,0,0,0,0
15276,1.8827e+07,0,0,0,0,0,0
15318,1.8837e+07,0,0,0,0,0,0
15358,1.8847e+07,0,0,0,0,0,0
15393,1.8857e+07,0,0,0,0,0,0
15434,1.8867e+07,0,0,0,0,0,0
15474,1.8877e+07,0,0,0,0,0,0
15515,1.8887e+07,0,0,0,0,0,0
15557,1.8897e+07,0,0,0,0,0,0
15600,1.8908e+07,0,0,0,0,0,0
15642,1.8918e+07,0,0,0,0,0,0
15682,1.8928e+07,0,0,0,0,0,0
15726,1.8938e+07,0,0,0,0,0,0
15767,1.8951e+07,0,0,0,0,0,0
15808,1.8961e+07,0,0,0,0,0,0
15845,1.8971e+07,0,0,0,0,0,0
15886,1.8981e+07,0,0,0,0,0,0
15927,1.8991e+07,0,0,0,0,0,0
15969,1.9001e+07,0,0,0,0,0,0
16015,1.9011e+07,0,0,0,0,0,0
16055,1.9021e+07,0,0,0,0,0,0
16096,1.9031e+07,0,0,0,0,0,0
16139,1.9041e+07,0,0,0,0,0,0
16176,1.9054e+07,0,0,0,0,0,0
16217,1.9064e+07,0,0,0,0,0,0
16257,1.9074e+07,0,0,0,0,0,0
16298,1.9084e+07,0,0,0,0,0,0
16340,1.9094e+07,0,0,0,0,0,0
16381,1.9104e+07,0,0,0,0,0,0
16426,1.9114e+07,0,0,0,0,0,0
16466,1.9124e+07,0,0,0,0,0,0
16508,1.9134e+07,0,0,0,0,0,0
16551,1.9144e+07,0,0,0,0,0,0
16592,1.9159e+07,0,0,0,0,0,0
16632,1.9169e+07,0,0,0,0,0,0
16674,1.918e+07,0,0,0,0,0,0
16715,1.919e+07,0,0,0,0,0,0
16755,1.92e+07,0,0,0,0,0,0
16799,1.921e+07,0,0,0,0,0,0
16840,1.9221e+07,0,0,0,0,0,0
16882,1.9231e+07,0,0,0,0,0,0
16923,1.9241e+07,0,0,0,0,0,0
16963,1.9251e+07,0,0,0,0,0,0
