LineNo,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
2.0191e+05,6.3603e+07,0,7.3121e-06,4.0413e-05,4.6631e-05,0.0038687,0.91016,0.81124,0.012772,17.426,16.845,0.24018,6.9226e-11,7.4546e-11
2.0399e+05,6.4102e+07,0,5.6757e-06,4.2077e-05,4.9927e-05,0.0038132,0.88112,0.78289,0.013261,17.168,16.535,0.26531,6.9512e-11,7.4181e-11
2.0605e+05,6.4593e+07,0,8.424e-06,4.3213e-05,4.9216e-05,0.0037541,0.84424,0.75433,0.013582,16.81,16.151,0.28801,6.9733e-11,7.3542e-11
2.0812e+05,6.5091e+07,0,6.7399e-06,4.2543e-05,5.1049e-05,0.0036998,0.80968,0.72924,0.013888,16.601,15.921,0.31124,7.0244e-11,7.3154e-11
2.1022e+05,6.5586e+07,0,6.5575e-06,4.3738e-05,5.1787e-05,0.0036633,0.80204,0.72948,0.014231,17.021,16.279,0.33811,7.0729e-11,7.2946e-11
2.1231e+05,6.6084e+07,0,1.7039e-06,4.4618e-05,5.1157e-05,0.0036128,0.77107,0.70765,0.014365,16.742,16.008,0.35665,7.1167e-11,7.2546e-11
2.1436e+05,6.6578e+07,0,3.3511e-06,4.6768e-05,5.1541e-05,0.0035391,0.045379,0.045301,0.013683,0.27083,0.27083,0.3587,7.1726e-11,7.2208e-11
2.1646e+05,6.7072e+07,0,6.6175e-06,4.7469e-05,5.2703e-05,0.0034781,0.026114,0.025589,0.012546,0.13918,0.13916,0.34914,7.1979e-11,7.1485e-11
2.1851e+05,6.7565e+07,0,6.1994e-06,4.8246e-05,5.4005e-05,0.0034326,0.018503,0.018094,0.011301,0.082208,0.082186,0.33916,7.0003e-11,6.9378e-11
2.2057e+05,6.8061e+07,0,6.9642e-06,5.1423e-05,5.0948e-05,0.0033696,0.020047,0.019859,0.010757,0.06893,0.068867,0.33186,6.7808e-11,6.7246e-11
2.2266e+05,6.8552e+07,0,6.2581e-06,4.4578e-05,5.3381e-05,0.0033132,0.0217,0.021615,0.01035,0.062744,0.062674,0.32498,6.5437e-11,6.5345e-11
2.2475e+05,6.9054e+07,0,7.985e-06,4.1784e-05,4.8293e-05,0.003205,0.018877,0.018825,0.0098424,0.052592,0.052522,0.31985,6.1181e-11,6.2502e-11
2.2685e+05,6.9551e+07,0,7.4063e-06,4.0733e-05,4.7614e-05,0.0031441,0.019688,0.019654,0.0097971,0.052565,0.052497,0.31433,5.9221e-11,6.1287e-11
2.289e+05,7.0044e+07,0,7.2875e-06,3.9355e-05,4.6639e-05,0.0030802,0.016321,0.016425,0.0094976,0.046777,0.046744,0.30451,5.6873e-11,5.989e-11
2.3096e+05,7.0537e+07,0,7.2657e-06,3.911e-05,4.6508e-05,0.0030289,0.016586,0.016837,0.0096604,0.048588,0.048581,0.30012,5.6178e-11,5.9435e-11
2.3302e+05,7.1032e+07,0,6.8365e-06,3.8472e-05,4.6302e-05,0.0029883,0.013946,0.014161,0.0095891,0.044264,0.044266,0.29736,5.4944e-11,5.8727e-11
2.3512e+05,7.1532e+07,0,6.7859e-06,3.858e-05,4.6502e-05,0.0029459,0.01432,0.014581,0.0098902,0.046944,0.04698,0.29455,5.4701e-11,5.8462e-11
