LineNo,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
13570,1.6424e+07,0,75.19,0.01,-1.32,138.19,137.52,0.14,0.45,3
13612,1.6437e+07,0,75.48,0.01,-1.55,139.89,139.22,0.14,0.45,3
13655,1.6447e+07,0,75.69,0.01,-1.71,141.1,140.43,0.18,0.45,3
13696,1.6457e+07,0,75.92,0.01,-1.87,142.31,141.63,0.18,0.45,3
13737,1.6468e+07,0,76.14,0.01,-2.03,143.5,142.83,0.18,0.45,3
13777,1.6478e+07,0,76.35,0.01,-2.2,144.69,144.02,0.18,0.45,3
13818,1.6488e+07,0,76.57,0.01,-2.38,146,145.33,0.18,0.45,3
13863,1.6498e+07,0,76.75,0.01,-2.56,147.19,146.52,0.18,0.49,3
13905,1.6509e+07,0,76.92,0.01,-2.76,148.51,147.84,0.18,0.49,3
13946,1.6519e+07,0,77.07,0.01,-2.94,149.72,149.04,0.18,0.49,3
13986,1.6529e+07,0,77.21,0.01,-3.11,150.92,150.24,0.18,0.49,3
14027,1.6539e+07,0,77.36,0.01,-3.27,152.12,151.44,0.18,0.49,3
14067,1.6549e+07,0,77.53,0.01,-3.43,153.43,152.75,0.18,0.49,3
14108,1.6559e+07,0,77.68,0.01,-3.57,154.62,153.94,0.18,0.49,3
14151,1.657e+07,0,77.81,0.01,-3.69,155.81,155.13,0.18,0.49,3
14191,1.658e+07,0,77.94,0.01,-3.8,157,156.32,0.18,0.49,3
14232,1.659e+07,0,78.08,0.01,-3.9,158.19,157.51,0.18,0.49,3
14276,1.6601e+07,0,78.23,0.01,-4,159.5,158.82,0.18,0.44,3
14317,1.6611e+07,0,78.36,0.01,-4.07,160.69,160.01,0.18,0.44,3
14357,1.6621e+07,0,78.51,0.01,-4.13,161.88,161.2,0.18,0.44,3
14399,1.6631e+07,0,78.65,0.01,-4.17,163.06,162.37,0.18,0.44,3
14436,1.6641e+07,0,78.76,0.01,-4.19,164.24,163.56,0.18,0.44,3
14481,1.6653e+07,0,78.89,0.01,-4.19,165.77,165.09,0.2,0.44,3
14522,1.6664e+07,0,79.01,0.01,-4.19,166.95,166.27,0.2,0.44,3
14563,1.6675e+07,0,79.12,0.01,-4.17,168.26,167.58,0.2,0.44,3
14605,1.6684e+07,0,79.2,0.01,-4.13,169.46,168.78,0.2,0.44,3
14646,1.6694e+07,0,79.29,0.01,-4.08,170.66,169.98,0.2,0.44,3
