LineNo,TimeUS,I,VDop,HAcc,VAcc,SAcc,YAcc,VV,SMS,Delta,Und
1.3104e+05,1.674e+09,0,1.01,0.76,1.02,0.14,0,1,1.6739e+06,200,-43.043
1.3181e+05,1.6742e+09,0,1.01,0.76,1.02,0.15,0,1,1.6741e+06,200,-43.043
1.3262e+05,1.6743e+09,0,1.01,0.76,1.01,0.16,0,1,1.6743e+06,200,-43.043
1.3342e+05,1.6745e+09,0,1.01,0.76,1.01,0.16,0,1,1.6745e+06,200,-43.043
1.3423e+05,1.6747e+09,0,1.01,0.76,1.01,0.16,0,1,1.6747e+06,200,-43.044
1.3503e+05,1.6749e+09,0,1.01,0.76,1.01,0.17,0,1,1.6749e+06,200,-43.043
1.3589e+05,1.6752e+09,0,0.99,0.76,1.01,0.16,0,1,1.6751e+06,200,-43.043
1.3669e+05,1.6754e+09,0,0.99,0.76,1.01,0.16,0,1,1.6753e+06,200,-43.044
1.3746e+05,1.6756e+09,0,0.99,0.76,1.01,0.18,0,1,1.6755e+06,200,-43.043
1.3827e+05,1.6757e+09,0,1.01,0.76,1.01,0.17,0,1,1.6757e+06,200,-43.043
1.3907e+05,1.6759e+09,0,1.01,0.76,1.01,0.16,0,1,1.6759e+06,200,-43.043
1.3993e+05,1.6762e+09,0,1.01,0.75,1.01,0.15,0,1,1.6761e+06,200,-43.043
1.4073e+05,1.6764e+09,0,1.01,0.75,1.01,0.14,0,1,1.6763e+06,200,-43.043
1.4153e+05,1.6765e+09,0,1.01,0.75,1.01,0.16,0,1,1.6765e+06,200,-43.043
1.4239e+05,1.6768e+09,0,1.01,0.75,1.01,0.14,0,1,1.6767e+06,200,-43.043
1.432e+05,1.677e+09,0,1.01,0.75,1.01,0.15,0,1,1.6769e+06,200,-43.044
1.44e+05,1.6772e+09,0,1.01,0.75,1.01,0.15,0,1,1.6771e+06,200,-43.043
1.4472e+05,1.6773e+09,0,1.01,0.75,1,0.15,0,1,1.6773e+06,200,-43.044
1.4561e+05,1.6776e+09,0,0.99,0.75,1,0.15,0,1,1.6775e+06,200,-43.044
1.4641e+05,1.6778e+09,0,0.99,0.75,1,0.14,0,1,1.6777e+06,200,-43.044
1.4718e+05,1.6779e+09,0,1.01,0.75,1,0.13,0,1,1.6779e+06,200,-43.043
