LineNo,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
5955,1.6433e+09,0,0,0,0,0,0.26,0.66,0,0,0.5,0.0001316,0.0061777,0.020923
6005,1.6433e+09,0,0,0,0,0,0.27,0.66,0,0,0.5,0.0001183,0.005771,0.019765
6049,1.6433e+09,0,0,0,0,0,0.27,0.66,0,0,0.5,0.0001183,0.005771,0.019765
6092,1.6434e+09,0,0,0,0,0,0.25,0.66,0,0,0.5,0.00017188,0.013536,0.041949
6136,1.6434e+09,0,0,0,0,0,0.25,0.66,0,0,0.5,0.00016454,0.012673,0.039504
6181,1.6434e+09,0,0,0,0,0,0.25,0.66,0,0,0.5,0.00016027,0.01202,0.038257
6228,1.6434e+09,0,0,0,0,0,0.26,0.66,0,0,0.5,0.00015254,0.011236,0.035994
6273,1.6434e+09,0,0,0,0,0,0.26,0.66,0,0,0.5,0.00014378,0.010496,0.03388
6317,1.6434e+09,0,0,0,0,0,0.26,0.66,0,0,0.5,0.00013596,0.0097932,0.031858
6362,1.6434e+09,0,0,0,0,0,0.27,0.66,0,0,0.5,0.00012923,0.0091291,0.029961
6409,1.6434e+09,0,0,0,0,0,0.27,0.66,0,0,0.5,0.00012344,0.0084982,0.028145
6456,1.6434e+09,0,0,0,0,0,0.27,0.66,0,0,0.5,0.00012344,0.0084982,0.028145
6500,1.6434e+09,0,0,0,0,0,0.27,0.66,0,0,0.5,0.00011839,0.007904,0.026469
6544,1.6435e+09,0,0,0,0,0,0.28,0.66,0,0,0.5,0.00010722,0.0073367,0.024838
6592,1.6435e+09,0,0,0,0,0,0.28,0.66,0,0,0.5,9.6601e-05,0.0072754,0.026369
6636,1.6435e+09,0,0,0,0,0,0.28,0.66,0,0,0.5,0.00022291,0.0067493,0.024752
6681,1.6435e+09,0,0,0,0,0,0.28,0.66,0,0,0.5,0.00021454,0.0062544,0.023236
6726,1.6435e+09,0,0,0,0,0,0.29,0.66,0,0,0.5,0.00020843,0.0057912,0.021799
6771,1.6435e+09,0,0,0,0,0,0.29,0.66,0,0,0.5,0.00020843,0.0057912,0.021799
6816,1.6435e+09,0,0,0,0,0,0.29,0.66,0,0,0.5,0.00020163,0.0053585,0.020472
6864,1.6435e+09,0,0,0,0,0,0.29,0.66,0,0,0.5,0.00019681,0.0049563,0.019218
6911,1.6435e+09,0,0,0,0,0,0.3,0.66,0,0,0.5,0.00019158,0.0045858,0.018064
6956,1.6436e+09,0,0,0,0,0,0.27,0.66,0,0,0.5,0.00022246,0.013998,0.044946
6998,1.6436e+09,0,0,0,0,0,0.27,0.66,0,0,0.5,0.00021755,0.013089,0.042271
7046,1.6436e+09,0,0,0,0,0,0.28,0.66,0,0,0.5,0.00023008,0.012425,0.041053
7089,1.6436e+09,0,0,0,0,0,0.28,0.66,0,0,0.5,0.00021512,0.011595,0.038576
7131,1.6436e+09,0,0,0,0,0,0.28,0.66,0,0,0.5,0.00020079,0.010806,0.036235
7175,1.6436e+09,0,0,0,0,0,0.28,0.66,0,0,0.5,0.00020079,0.010806,0.036235
7218,1.6436e+09,0,0,0,0,0,0.29,0.66,0,0,0.5,0.00018717,0.01006,0.034019
7264,1.6436e+09,0,0,0,0,0,0.29,0.66,0,0,0.5,0.00017428,0.0093514,0.031912
7307,1.6436e+09,0,0,0,0,0,0.29,0.66,0,0,0.5,0.00016212,0.0086764,0.029902
7350,1.6437e+09,0,0,0,0,0,0.29,0.66,0,0,0.5,0.00016212,0.0086764,0.029902
7395,1.6437e+09,0,0,0,0,0,0.3,0.66,0,0,0.5,0.00015063,0.0080367,0.027976
7437,1.6437e+09,0,0,0,0,0,0.3,0.66,0,0,0.5,0.00013903,0.0074284,0.026132
7477,1.6437e+09,0,0,0,0,0,0.3,0.66,0,0,0.5,0.00027256,0.0074041,0.027983
7519,1.6437e+09,0,0,0,0,0,0.3,0.66,0,0,0.5,0.00025838,0.0068402,0.026188
7563,1.6437e+09,0,0,0,0,0,0.3,0.66,0,0,0.5,0.00025838,0.0068402,0.026188
7606,1.6437e+09,0,0,0,0,0,0.3,0.66,0,0,0.5,0.00024791,0.0063111,0.024464
7649,1.6437e+09,0,0,0,0,0,0.31,0.66,0,0,0.5,0.00023557,0.0058171,0.022829
7701,1.6437e+09,0,0,0,0,0,0.31,0.66,0,0,0.5,0.00022187,0.0053566,0.021343
7745,1.6437e+09,0,0,0,0,0,0.31,0.66,0,0,0.5,0.00021145,0.0049276,0.019907
7787,1.6438e+09,0,0,0,0,0,0.29,0.66,0,0,0.5,0.00020761,0.014668,0.049917
7833,1.6438e+09,0,0,0,0,0,0.29,0.66,0,0,0.5,0.00019839,0.013738,0.046944
7878,1.6438e+09,0,0,0,0,0,0.29,0.66,0,0,0.5,0.00019839,0.013738,0.046944
7925,1.6438e+09,0,0,0,0,0,0.29,0.66,0,0,0.5,0.00028155,0.013138,0.045976
7969,1.6438e+09,0,0,0,0,0,0.29,0.66,0,0,0.5,0.0002644,0.012282,0.043209
8014,1.6438e+09,0,0,0,0,0,0.3,0.66,0,0,0.5,0.00024809,0.011474,0.040572
8058,1.6438e+09,0,0,0,0,0,0.3,0.66,0,0,0.5,0.00023267,0.010707,0.038067
8103,1.6438e+09,0,0,0,0,0,0.3,0.66,0,0,0.5,0.00021788,0.0099825,0.03566
8153,1.6438e+09,0,0,0,0,0,0.31,0.66,0,0,0.5,0.00020637,0.0092991,0.033385
8197,1.6439e+09,0,0,0,0,0,0.31,0.66,0,0,0.5,0.00019229,0.0086584,0.03125
8243,1.6439e+09,0,0,0,0,0,0.31,0.66,0,0,0.5,0.0001786,0.0080492,0.029234
8287,1.6439e+09,0,0,0,0,0,0.31,0.66,0,0,0.5,0.0001786,0.0080492,0.029234
