LineNo,TimeUS,C,MI,BI,GI,AI,SS
19093,1.6465e+09,0,0,0,0,0,0
19138,1.6465e+09,0,0,0,0,0,0
19183,1.6465e+09,0,0,0,0,0,0
19228,1.6465e+09,0,0,0,0,0,0
19272,1.6465e+09,0,0,0,0,0,0
19321,1.6465e+09,0,0,0,0,0,0
19366,1.6465e+09,0,0,0,0,0,0
19410,1.6465e+09,0,0,0,0,0,0
19458,1.6466e+09,0,0,0,0,0,0
19497,1.6466e+09,0,0,0,0,0,0
19540,1.6466e+09,0,0,0,0,0,0
19583,1.6466e+09,0,0,0,0,0,0
19626,1.6466e+09,0,0,0,0,0,0
19669,1.6466e+09,0,0,0,0,0,0
19712,1.6466e+09,0,0,0,0,0,0
19759,1.6466e+09,0,0,0,0,0,0
19802,1.6466e+09,0,0,0,0,0,0
19844,1.6466e+09,0,0,0,0,0,0
19888,1.6467e+09,0,0,0,0,0,0
19934,1.6467e+09,0,0,0,0,0,0
19976,1.6467e+09,0,0,0,0,0,0
20020,1.6467e+09,0,0,0,0,0,0
20063,1.6467e+09,0,0,0,0,0,0
20107,1.6467e+09,0,0,0,0,0,0
20154,1.6467e+09,0,0,0,0,0,0
20197,1.6467e+09,0,0,0,0,0,0
20239,1.6467e+09,0,0,0,0,0,0
20285,1.6468e+09,0,0,0,0,0,0
20327,1.6468e+09,0,0,0,0,0,0
20371,1.6468e+09,0,0,0,0,0,0
20416,1.6468e+09,0,0,0,0,0,0
20460,1.6468e+09,0,0,0,0,0,0
20506,1.6468e+09,0,0,0,0,0,0
20551,1.6468e+09,0,0,0,0,0,0
20601,1.6468e+09,0,0,0,0,0,0
20646,1.6468e+09,0,0,0,0,0,0
20691,1.6469e+09,0,0,0,0,0,0
20736,1.6469e+09,0,0,0,0,0,0
20785,1.6469e+09,0,0,0,0,0,0
20830,1.6469e+09,0,0,0,0,0,0
20875,1.6469e+09,0,0,0,0,0,0
20921,1.6469e+09,0,0,0,0,0,0
20966,1.6469e+09,0,0,0,0,0,0
21010,1.6469e+09,0,0,0,0,0,0
21059,1.6469e+09,0,0,0,0,0,0
21106,1.647e+09,0,0,0,0,0,0
21147,1.647e+09,0,0,0,0,0,0
21196,1.647e+09,0,0,0,0,0,0
21241,1.647e+09,0,0,0,0,0,0
21286,1.647e+09,0,0,0,0,0,0
21330,1.647e+09,0,0,0,0,0,0
21375,1.647e+09,0,0,0,0,0,0
21420,1.647e+09,0,0,0,0,0,0
21469,1.647e+09,0,0,0,0,0,0
21514,1.647e+09,0,0,0,0,0,0
21559,1.6471e+09,0,0,0,0,0,0
21605,1.6471e+09,0,0,0,0,0,0
21649,1.6471e+09,0,0,0,0,0,0
21695,1.6471e+09,0,0,0,0,0,0
21739,1.6471e+09,0,0,0,0,0,0
21785,1.6471e+09,0,0,0,0,0,0
21829,1.6471e+09,0,0,0,0,0,0
21874,1.6471e+09,0,0,0,0,0,0
21923,1.6471e+09,0,0,0,0,0,0
21969,1.6472e+09,0,0,0,0,0,0
22011,1.6472e+09,0,0,0,0,0,0
22057,1.6472e+09,0,0,0,0,0,0
22100,1.6472e+09,0,0,0,0,0,0
22142,1.6472e+09,0,0,0,0,0,0
22185,1.6472e+09,0,0,0,0,0,0
22229,1.6472e+09,0,0,0,0,0,0
22272,1.6472e+09,0,0,0,0,0,0
22315,1.6472e+09,0,0,0,0,0,0
22361,1.6472e+09,0,0,0,0,0,0
22406,1.6473e+09,0,0,0,0,0,0
22448,1.6473e+09,0,0,0,0,0,0
22492,1.6473e+09,0,0,0,0,0,0
22538,1.6473e+09,0,0,0,0,0,0
22580,1.6473e+09,0,0,0,0,0,0
22623,1.6473e+09,0,0,0,0,0,0
22665,1.6473e+09,0,0,0,0,0,0
22709,1.6473e+09,0,0,0,0,0,0
22750,1.6473e+09,0,0,0,0,0,0
22796,1.6474e+09,0,0,0,0,0,0
22841,1.6474e+09,0,0,0,0,0,0
22886,1.6474e+09,0,0,0,0,0,0
22934,1.6474e+09,0,0,0,0,0,0
22978,1.6474e+09,0,0,0,0,0,0
23023,1.6474e+09,0,0,0,0,0,0
23069,1.6474e+09,0,0,0,0,0,0
23114,1.6474e+09,0,0,0,0,0,0
23159,1.6474e+09,0,0,0,0,0,0
23207,1.6475e+09,0,0,0,0,0,0
23252,1.6475e+09,0,0,0,0,0,0
23297,1.6475e+09,0,0,0,0,0,0
23342,1.6475e+09,0,0,0,0,0,0
23390,1.6475e+09,0,0,0,0,0,0
23431,1.6475e+09,0,0,0,0,0,0
23476,1.6475e+09,0,0,0,0,0,0
23520,1.6475e+09,0,0,0,0,0,0
