LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
3.0367e+05,1.7168e+09,2,43,-153,469,-399,44,42,0,0,0,1,1.7168e+09
3.0412e+05,1.7169e+09,2,38,-137,474,-399,44,42,0,0,0,1,1.7169e+09
3.0456e+05,1.717e+09,2,36,-121,468,-399,44,42,0,0,0,1,1.717e+09
3.05e+05,1.7171e+09,2,38,-110,466,-399,44,42,0,0,0,1,1.7171e+09
3.0544e+05,1.7172e+09,2,41,-97,465,-399,44,42,0,0,0,1,1.7172e+09
3.0588e+05,1.7173e+09,2,35,-107,475,-399,44,42,0,0,0,1,1.7173e+09
3.0632e+05,1.7175e+09,2,41,-125,463,-399,44,42,0,0,0,1,1.7175e+09
3.0677e+05,1.7176e+09,2,41,-134,471,-399,44,42,0,0,0,1,1.7176e+09
3.0719e+05,1.7177e+09,2,46,-140,467,-399,44,42,0,0,0,1,1.7177e+09
3.0763e+05,1.7178e+09,2,56,-130,462,-399,44,42,0,0,0,1,1.7178e+09
3.0805e+05,1.7179e+09,2,60,-143,462,-399,44,42,0,0,0,1,1.7179e+09
3.0849e+05,1.718e+09,2,67,-141,454,-399,44,42,0,0,0,1,1.718e+09
3.0888e+05,1.7181e+09,2,55,-148,459,-399,44,42,0,0,0,1,1.7181e+09
3.0931e+05,1.7182e+09,2,65,-159,446,-399,44,42,0,0,0,1,1.7182e+09
3.0976e+05,1.7183e+09,2,61,-156,456,-399,44,42,0,0,0,1,1.7183e+09
3.102e+05,1.7184e+09,2,59,-152,454,-399,44,42,0,0,0,1,1.7184e+09
3.1065e+05,1.7185e+09,2,59,-178,467,-399,44,42,0,0,0,1,1.7185e+09
3.1106e+05,1.7186e+09,2,103,-168,457,-399,44,42,0,0,0,1,1.7186e+09
3.115e+05,1.7187e+09,2,54,-166,465,-399,44,42,0,0,0,1,1.7187e+09
3.1195e+05,1.7189e+09,2,53,-159,458,-399,44,42,0,0,0,1,1.7189e+09
3.124e+05,1.719e+09,2,48,-165,462,-399,44,42,0,0,0,1,1.719e+09
3.1316e+05,1.7192e+09,2,48,-178,458,-399,44,42,0,0,0,1,1.7192e+09
3.1361e+05,1.7193e+09,2,33,-173,469,-399,44,42,0,0,0,1,1.7193e+09
3.1404e+05,1.7194e+09,2,29,-127,473,-399,44,42,0,0,0,1,1.7194e+09
3.1443e+05,1.7195e+09,2,36,-105,483,-399,44,42,0,0,0,1,1.7195e+09
3.1486e+05,1.7196e+09,2,25,-112,485,-399,44,42,0,0,0,1,1.7196e+09
3.1531e+05,1.7197e+09,2,35,-114,476,-399,44,42,0,0,0,1,1.7197e+09
3.1575e+05,1.7198e+09,2,37,-117,477,-399,44,42,0,0,0,1,1.7198e+09
3.162e+05,1.7199e+09,2,46,-117,473,-399,44,42,0,0,0,1,1.7199e+09
3.1664e+05,1.72e+09,2,50,-120,463,-399,44,42,0,0,0,1,1.72e+09
3.1706e+05,1.7202e+09,2,55,-113,464,-399,44,42,0,0,0,1,1.7202e+09
3.175e+05,1.7203e+09,2,49,-108,455,-399,44,42,0,0,0,1,1.7203e+09
3.1795e+05,1.7204e+09,2,67,-116,453,-399,44,42,0,0,0,1,1.7204e+09
3.1839e+05,1.7205e+09,2,63,-116,452,-399,44,42,0,0,0,1,1.7205e+09
3.1883e+05,1.7206e+09,2,67,-134,446,-399,44,42,0,0,0,1,1.7206e+09
3.1928e+05,1.7207e+09,2,60,-147,456,-399,44,42,0,0,0,1,1.7207e+09
3.1969e+05,1.7208e+09,2,61,-147,451,-399,44,42,0,0,0,1,1.7208e+09
3.2014e+05,1.7209e+09,2,67,-151,451,-399,44,42,0,0,0,1,1.7209e+09
3.2058e+05,1.721e+09,2,68,-148,456,-399,44,42,0,0,0,1,1.721e+09
3.2102e+05,1.7211e+09,2,64,-155,453,-399,44,42,0,0,0,1,1.7211e+09
3.2143e+05,1.7212e+09,2,65,-156,444,-399,44,42,0,0,0,1,1.7212e+09
3.2185e+05,1.7213e+09,2,60,-143,453,-399,44,42,0,0,0,1,1.7213e+09
3.2228e+05,1.7214e+09,2,66,-148,446,-399,44,42,0,0,0,1,1.7214e+09
3.2273e+05,1.7215e+09,2,66,-154,466,-399,44,42,0,0,0,1,1.7215e+09
3.2317e+05,1.7217e+09,2,137,-156,455,-399,44,42,0,0,0,1,1.7217e+09
3.2361e+05,1.7218e+09,2,58,-164,461,-399,44,42,0,0,0,1,1.7218e+09
3.2406e+05,1.7219e+09,2,44,-175,466,-399,44,42,0,0,0,1,1.7219e+09
3.2447e+05,1.722e+09,2,37,-190,473,-399,44,42,0,0,0,1,1.722e+09
3.2492e+05,1.7221e+09,2,36,-190,468,-399,44,42,0,0,0,1,1.7221e+09
3.2536e+05,1.7222e+09,2,42,-195,457,-399,44,42,0,0,0,1,1.7222e+09
3.258e+05,1.7223e+09,2,38,-186,460,-399,44,42,0,0,0,1,1.7223e+09
3.2621e+05,1.7224e+09,2,43,-183,460,-399,44,42,0,0,0,1,1.7224e+09
3.2666e+05,1.7225e+09,2,40,-169,461,-399,44,42,0,0,0,1,1.7225e+09
3.271e+05,1.7226e+09,2,25,-180,470,-399,44,42,0,0,0,1,1.7226e+09
3.2754e+05,1.7227e+09,2,42,-185,467,-399,44,42,0,0,0,1,1.7227e+09
3.2796e+05,1.7228e+09,2,38,-161,470,-399,44,42,0,0,0,1,1.7228e+09
3.284e+05,1.7229e+09,2,28,-139,477,-399,44,42,0,0,0,1,1.7229e+09
3.2881e+05,1.723e+09,2,39,-120,476,-399,44,42,0,0,0,1,1.723e+09
3.2926e+05,1.7232e+09,2,46,-112,470,-399,44,42,0,0,0,1,1.7232e+09
3.2968e+05,1.7233e+09,2,51,-108,464,-399,44,42,0,0,0,1,1.7233e+09
3.301e+05,1.7234e+09,2,61,-130,453,-399,44,42,0,0,0,1,1.7234e+09
3.3054e+05,1.7235e+09,2,44,-153,467,-399,44,42,0,0,0,1,1.7235e+09
3.3098e+05,1.7236e+09,2,52,-157,465,-399,44,42,0,0,0,1,1.7236e+09
3.3143e+05,1.7237e+09,2,49,-179,463,-399,44,42,0,0,0,1,1.7237e+09
3.3184e+05,1.7238e+09,2,60,-174,454,-399,44,42,0,0,0,1,1.7238e+09
3.3229e+05,1.7239e+09,2,60,-170,457,-399,44,42,0,0,0,1,1.7239e+09
3.3273e+05,1.724e+09,2,69,-160,442,-399,44,42,0,0,0,1,1.724e+09
3.3318e+05,1.7241e+09,2,69,-159,447,-399,44,42,0,0,0,1,1.7241e+09
3.3362e+05,1.7242e+09,2,76,-146,442,-399,44,42,0,0,0,1,1.7242e+09
3.3403e+05,1.7243e+09,2,81,-132,440,-399,44,42,0,0,0,1,1.7243e+09
3.3444e+05,1.7244e+09,2,91,-133,438,-399,44,42,0,0,0,1,1.7244e+09
3.3489e+05,1.7245e+09,2,75,-136,442,-399,44,42,0,0,0,1,1.7245e+09
3.3533e+05,1.7247e+09,2,84,-134,440,-399,44,42,0,0,0,1,1.7247e+09
3.3574e+05,1.7248e+09,2,78,-136,446,-399,44,42,0,0,0,1,1.7248e+09
3.3619e+05,1.7249e+09,2,72,-139,442,-399,44,42,0,0,0,1,1.7249e+09
3.3663e+05,1.725e+09,2,70,-150,445,-399,44,42,0,0,0,1,1.725e+09
3.3707e+05,1.7251e+09,2,75,-127,450,-399,44,42,0,0,0,1,1.7251e+09
3.3748e+05,1.7252e+09,2,68,-134,451,-399,44,42,0,0,0,1,1.7252e+09
3.3793e+05,1.7253e+09,2,77,-143,445,-399,44,42,0,0,0,1,1.7253e+09
