LineNo,TimeUS,C,IVN0,IVN1,IVN2,IVN3,IVN4,IVE0,IVE1,IVE2,IVE3,IVE4
11962,1.6447e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
12006,1.6447e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
12052,1.6448e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
12882,1.645e+09,1,0,0,0,0,0,0,0,0,0,0
12926,1.645e+09,1,0,0,0,0,0,0,0,0,0,0
12975,1.645e+09,1,0,0,0,0,0,0,0,0,0,0
13020,1.645e+09,1,0,0,0,0,0,0,0,0,0,0
13065,1.645e+09,1,0,0,0,0,0,0,0,0,0,0
13110,1.645e+09,1,0,0,0,0,0,0,0,0,0,0
13154,1.645e+09,1,0,0,0,0,0,0,0,0,0,0
13198,1.645e+09,1,0,0,0,0,0,0,0,0,0,0
13242,1.645e+09,1,0,0,0,0,0,0,0,0,0,0
13287,1.645e+09,1,0,0,0,0,0,0,0,0,0,0
13332,1.6451e+09,1,0,0,0,0,0,0,0,0,0,0
13376,1.6451e+09,1,0,0,0,0,0,0,0,0,0,0
13425,1.6451e+09,1,0,0,0,0,0,0,0,0,0,0
13469,1.6451e+09,1,0,0,0,0,0,0,0,0,0,0
13514,1.6451e+09,1,0,0,0,0,0,0,0,0,0,0
13571,1.6452e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
13616,1.6452e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
13664,1.6452e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
13712,1.6452e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
13757,1.6452e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
13804,1.6452e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
13849,1.6452e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
13895,1.6452e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
13940,1.6453e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
13987,1.6453e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
14031,1.6453e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
14080,1.6453e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
14125,1.6453e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
14170,1.6453e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
14215,1.6453e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
14259,1.6453e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
14304,1.6453e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
14348,1.6453e+09,1,-1.8654,0.70037,2.1877,0.54115,-1.9638,-1.4006,-2.1308,0.083707,2.1826,1.2652
15256,1.6456e+09,1,0,0,0,0,0,0,0,0,0,0
15301,1.6456e+09,1,0,0,0,0,0,0,0,0,0,0
15346,1.6456e+09,1,0,0,0,0,0,0,0,0,0,0
15394,1.6456e+09,1,0,0,0,0,0,0,0,0,0,0
15440,1.6456e+09,1,0,0,0,0,0,0,0,0,0,0
15484,1.6456e+09,1,0,0,0,0,0,0,0,0,0,0
15530,1.6456e+09,1,0,0,0,0,0,0,0,0,0,0
15577,1.6456e+09,1,0,0,0,0,0,0,0,0,0,0
15622,1.6457e+09,1,0,0,0,0,0,0,0,0,0,0
15667,1.6457e+09,1,0,0,0,0,0,0,0,0,0,0
15711,1.6457e+09,1,0,0,0,0,0,0,0,0,0,0
