LineNo,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
15013,1.6455e+09,0.015733,0.016146,0.022748,0.041236,0.0053255
15056,1.6455e+09,0.015716,0.015936,0.022882,0.041012,0.0052209
15098,1.6455e+09,0.015574,0.015657,0.022655,0.040841,0.0051176
15141,1.6455e+09,0.015407,0.015376,0.022684,0.04046,0.0050165
15183,1.6455e+09,0.015312,0.015223,0.022668,0.039983,0.004917
15226,1.6456e+09,0.015379,0.015028,0.022549,0.039831,0.0048211
15270,1.6456e+09,0.015307,0.01473,0.022629,0.039362,0.0047027
15315,1.6456e+09,0.015217,0.014459,0.022353,0.038807,0.0046113
15360,1.6456e+09,0.015531,0.014589,0.022539,0.038394,0.0045219
15408,1.6456e+09,0.015661,0.014307,0.022256,0.038109,0.004434
15454,1.6456e+09,0.015732,0.014149,0.022324,0.037681,0.0043484
15498,1.6456e+09,0.015773,0.013896,0.022132,0.03704,0.0042633
15544,1.6456e+09,0.015973,0.013739,0.02213,0.037091,0.0041812
15591,1.6456e+09,0.015941,0.013607,0.022136,0.036507,0.0040781
15636,1.6457e+09,0.015801,0.013492,0.021929,0.035988,0.0039983
15681,1.6457e+09,0.015819,0.013694,0.022033,0.03549,0.0039189
15725,1.6457e+09,0.015593,0.013799,0.021773,0.035139,0.0038413
15770,1.6457e+09,0.01552,0.013896,0.021903,0.034658,0.0037653
15820,1.6457e+09,0.015354,0.013946,0.021739,0.034049,0.0036905
15864,1.6457e+09,0.015374,0.014074,0.021731,0.033854,0.0036183
15909,1.6457e+09,0.015272,0.013906,0.021633,0.033475,0.0035465
15954,1.6457e+09,0.015213,0.013671,0.021528,0.033006,0.0034788
16000,1.6457e+09,0.01545,0.014306,0.021568,0.03277,0.0034114
16046,1.6457e+09,0.015605,0.014241,0.021259,0.032498,0.0033509
16085,1.6458e+09,0.015811,0.014702,0.021328,0.03225,0.0032893
16132,1.6458e+09,0.015677,0.014927,0.021102,0.031696,0.0032296
16177,1.6458e+09,0.016058,0.015426,0.021183,0.031647,0.0031724
16222,1.6458e+09,0.016055,0.015404,0.021056,0.031283,0.003113
16272,1.6458e+09,0.016086,0.015628,0.021064,0.031017,0.0030561
16317,1.6458e+09,0.016035,0.015547,0.021204,0.030604,0.0029976
16361,1.6458e+09,0.016063,0.015612,0.020914,0.030557,0.002941
16408,1.6458e+09,0.015992,0.015395,0.021082,0.030305,0.0028837
16458,1.6458e+09,0.015747,0.015343,0.021028,0.029835,0.0028011
16502,1.6459e+09,0.015758,0.01549,0.020824,0.029771,0.0027491
16547,1.6459e+09,0.015586,0.015312,0.020916,0.029646,0.0026955
16592,1.6459e+09,0.015509,0.015606,0.020764,0.029359,0.0026452
16636,1.6459e+09,0.015609,0.016072,0.021102,0.029294,0.0025971
16682,1.6459e+09,0.015543,0.016052,0.020778,0.029625,0.0025515
16730,1.6459e+09,0.015591,0.015956,0.021065,0.029699,0.002504
16775,1.6459e+09,0.015388,0.01596,0.020843,0.02944,0.0024577
16819,1.6459e+09,0.015733,0.016481,0.021107,0.029572,0.0024141
16865,1.6459e+09,0.015651,0.016351,0.020982,0.029788,0.0023701
16911,1.6459e+09,0.015759,0.016442,0.021013,0.029569,0.0023267
16954,1.646e+09,0.015737,0.016335,0.02109,0.029438,0.0022827
16994,1.646e+09,0.015996,0.016935,0.020852,0.029519,0.002242
17037,1.646e+09,0.01602,0.016893,0.021046,0.029391,0.0021993
17080,1.646e+09,0.01589,0.017088,0.020789,0.029075,0.0021586
17122,1.646e+09,0.016185,0.017557,0.021046,0.029103,0.0021207
17169,1.646e+09,0.016058,0.017706,0.020775,0.029354,0.0020833
17211,1.646e+09,0.016049,0.017524,0.020925,0.029504,0.0020466
17253,1.646e+09,0.015849,0.017412,0.020871,0.02945,0.00201
17298,1.646e+09,0.016069,0.017793,0.020873,0.029787,0.0019769
17340,1.6461e+09,0.015886,0.017762,0.021048,0.030312,0.0019421
17387,1.6461e+09,0.015815,0.017935,0.020709,0.029993,0.001898
17429,1.6461e+09,0.016039,0.018116,0.021195,0.031032,0.0018647
17472,1.6461e+09,0.015932,0.018072,0.021064,0.031921,0.0018293
17515,1.6461e+09,0.015933,0.017883,0.021246,0.03247,0.0017952
17557,1.6461e+09,0.015753,0.017717,0.021472,0.033293,0.0017598
17605,1.6461e+09,0.015958,0.017821,0.021433,0.034029,0.0017265
17647,1.6461e+09,0.01574,0.017855,0.021838,0.035142,0.0016923
17690,1.6461e+09,0.015794,0.017854,0.021576,0.035103,0.0016593
17734,1.6461e+09,0.015857,0.017978,0.021879,0.035434,0.0016193
17780,1.6462e+09,0.015742,0.017776,0.021872,0.036108,0.0015875
17825,1.6462e+09,0.015752,0.017726,0.021914,0.03591,0.0015571
17869,1.6462e+09,0.015586,0.017511,0.022137,0.036183,0.0015277
17913,1.6462e+09,0.015947,0.01791,0.021934,0.036275,0.0015034
17958,1.6462e+09,0.015748,0.017952,0.022152,0.03656,0.0014774
