LineNo,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
4.2404e+05,1.7467e+09,5.4197,-1.2504,-0.011837,5.2178,-0.8308,0.027801,2.6701,-1.0595,-0.087126,-24.992,-9.5482,0.254
4.2409e+05,1.7467e+09,5.2913,4.9945,-0.066058,4.8805,4.8132,-0.026566,2.7487,-2.0504,-0.086578,-31.083,11.944,0.2528
4.2413e+05,1.7467e+09,4.5879,11.919,-0.14693,4.881,7.948,-0.059914,2.7553,-0.084915,-0.086527,-37.607,29.982,0.25115
4.2418e+05,1.7467e+09,4.7352,-2.1009,-0.017941,4.6542,1.1785,0.010363,2.8368,0.10229,-0.086801,-43.958,-9.4688,0.2489
4.2422e+05,1.7467e+09,4.9059,-0.83073,0.00082254,4.067,0.24037,0.033344,2.9158,-0.75504,-0.086465,-50.725,-21.075,0.24677
4.2426e+05,1.7467e+09,4.6529,4.2927,-0.059824,4.1286,0.41017,0.028058,3.0412,-0.63574,-0.085598,-55.753,21.101,0.24425
4.2431e+05,1.7467e+09,4.3485,13.168,-0.15192,3.4704,10.207,-0.074973,3.0944,-1.007,-0.085577,-62.646,-16.419,0.24215
4.2435e+05,1.7467e+09,4.8789,-5.584,0.027198,4.31,7.6444,-0.049236,3.137,0.34435,-0.085544,-65.684,-1.474,0.24068
4.244e+05,1.7467e+09,4.6876,-3.2356,0.005946,4.8881,-3.9456,0.066506,3.2872,-1.0113,-0.085014,-66.591,-21.821,0.23878
4.2444e+05,1.7468e+09,4.8953,15.768,-0.18692,4.5259,2.3291,0.0032571,3.4022,-3.2394,-0.084417,-67.472,-35.684,0.23751
4.2449e+05,1.7468e+09,5.6091,8.0023,-0.12472,4.0283,-4.0808,0.064522,3.4655,-1.6034,-0.084229,-68.472,-13.661,0.23649
4.2454e+05,1.7468e+09,9.7244,4.1409,-0.082538,3.3774,-2.8724,0.058179,3.5343,-3.8326,-0.083987,-64.899,-42.239,0.23579
4.2458e+05,1.7468e+09,10.089,-0.99102,-0.028203,3.8885,7.076,-0.035492,3.4898,0.44754,-0.083876,-61.488,-34.389,0.23579
4.2462e+05,1.7468e+09,9.1894,-1.1884,-0.024014,4.3981,5.0048,-0.013393,3.6534,-1.5624,-0.083676,-62.75,-43.983,0.23601
4.2467e+05,1.7468e+09,8.6929,-2.6913,-0.020379,4.0944,3.5332,0.0071585,3.7848,-1.8929,-0.083336,-62.227,-65.935,0.23668
4.2471e+05,1.7468e+09,7.8719,-3.0177,-0.0033975,3.3666,4.8331,-0.0047899,3.8533,-1.6028,-0.083046,-63.354,-51.793,0.23772
4.2476e+05,1.7468e+09,6.8655,5.5682,-0.090089,4.2691,7.8546,-0.038003,3.993,-1.9753,-0.082279,-66.386,-42.211,0.23821
4.248e+05,1.7468e+09,5.3727,8.4068,-0.14236,4.582,-1.0584,0.053486,4.1767,-2.3289,-0.081959,-65.294,-60.587,0.23873
4.2484e+05,1.7469e+09,5.4543,1.2786,-0.073725,4.326,-2.865,0.06753,4.2891,-2.4593,-0.08151,-64.469,-44.495,0.23932
4.2489e+05,1.7469e+09,1.8228,1.8683,-0.064066,4.3557,1.8899,0.027389,4.4366,-1.7716,-0.081128,-64.534,-61.317,0.23948
4.2493e+05,1.7469e+09,0.77505,7.6234,-0.13427,4.1942,-1.7191,0.057566,4.6834,-5.0828,-0.080143,-63.699,-33.913,0.24016
4.2498e+05,1.7469e+09,-0.24809,5.6126,-0.11861,3.8842,-3.7903,0.076406,4.7103,-1.0744,-0.079996,-62.867,-29.596,0.24015
