LineNo,TimeUS,C,Q1,Q2,Q3,Q4
9593,1.6442e+09,0,-0.98484,0.025561,-0.0049916,-0.17148
9636,1.6442e+09,0,-0.98483,0.025767,-0.0048686,-0.17151
9678,1.6442e+09,0,-0.98486,0.025644,-0.005187,-0.17134
9723,1.6442e+09,0,-0.98485,0.025823,-0.0048415,-0.17142
9765,1.6442e+09,0,-0.98487,0.025409,-0.0053134,-0.17136
9808,1.6442e+09,0,-0.98487,0.025489,-0.0049635,-0.17133
9851,1.6442e+09,0,-0.98488,0.025323,-0.0052738,-0.17129
9896,1.6442e+09,0,-0.98488,0.025255,-0.0049096,-0.17131
9940,1.6443e+09,0,-0.98487,0.025315,-0.0051865,-0.17138
9983,1.6443e+09,0,-0.98488,0.025262,-0.0051192,-0.17132
10026,1.6443e+09,0,-0.98486,0.025486,-0.00486,-0.17138
10070,1.6443e+09,0,-0.98487,0.025253,-0.0050855,-0.17139
10113,1.6443e+09,0,-0.98485,0.025596,-0.0047946,-0.17143
10156,1.6443e+09,0,-0.98485,0.025577,-0.0052384,-0.17145
10200,1.6443e+09,0,-0.98483,0.025879,-0.0047738,-0.1715
10243,1.6443e+09,0,-0.98482,0.025574,-0.0054124,-0.17159
10287,1.6443e+09,0,-0.98483,0.02571,-0.005042,-0.17151
10331,1.6444e+09,0,-0.98482,0.025861,-0.0046631,-0.17156
10375,1.6444e+09,0,-0.98484,0.025565,-0.0052043,-0.17149
10420,1.6444e+09,0,-0.98484,0.025863,-0.0048097,-0.17145
10466,1.6444e+09,0,-0.98485,0.025659,-0.0052489,-0.17139
10510,1.6444e+09,0,-0.98486,0.025682,-0.0049284,-0.17138
10555,1.6444e+09,0,-0.98486,0.025348,-0.005286,-0.17139
10599,1.6444e+09,0,-0.98488,0.025265,-0.005156,-0.17129
10644,1.6444e+09,0,-0.98487,0.025321,-0.0051254,-0.17134
10689,1.6444e+09,0,-0.98488,0.025155,-0.0050506,-0.17133
10734,1.6444e+09,0,-0.98487,0.025345,-0.0049539,-0.17137
10783,1.6445e+09,0,-0.98487,0.025353,-0.0050654,-0.17133
10828,1.6445e+09,0,-0.98485,0.025854,-0.0047835,-0.17139
10873,1.6445e+09,0,-0.98485,0.025447,-0.0051729,-0.17144
10917,1.6445e+09,0,-0.98486,0.02579,-0.004755,-0.17136
10962,1.6445e+09,0,-0.98485,0.025588,-0.0051136,-0.17143
11007,1.6445e+09,0,-0.98485,0.025797,-0.0046624,-0.1714
11051,1.6445e+09,0,-0.98484,0.025374,-0.0052328,-0.17149
11097,1.6445e+09,0,-0.98487,0.025543,-0.0048685,-0.17136
11142,1.6445e+09,0,-0.98486,0.025325,-0.0050437,-0.17144
11189,1.6446e+09,0,-0.98486,0.025334,-0.005383,-0.1714
11234,1.6446e+09,0,-0.98487,0.025674,-0.0048483,-0.17131
11279,1.6446e+09,0,-0.98487,0.025462,-0.0053848,-0.17131
11325,1.6446e+09,0,-0.98487,0.025629,-0.0048341,-0.17134
11369,1.6446e+09,0,-0.98486,0.025307,-0.0053131,-0.17139
11417,1.6446e+09,0,-0.98487,0.025436,-0.005053,-0.17135
11463,1.6446e+09,0,-0.98486,0.025909,-0.0043845,-0.17137
11508,1.6446e+09,0,-0.98485,0.025658,-0.0050753,-0.17144
11553,1.6446e+09,0,-0.98486,0.025918,-0.0045648,-0.17136
11598,1.6446e+09,0,-0.98484,0.025786,-0.005074,-0.17144
11643,1.6447e+09,0,-0.98485,0.025907,-0.0046721,-0.17142
11692,1.6447e+09,0,-0.98485,0.025524,-0.0051944,-0.17147
11737,1.6447e+09,0,-0.98485,0.025604,-0.0050915,-0.17143
11782,1.6447e+09,0,-0.98486,0.025531,-0.0049611,-0.1714
11826,1.6447e+09,0,-0.98485,0.025314,-0.0051835,-0.17148
11868,1.6447e+09,0,-0.98487,0.025325,-0.0047615,-0.17137
11913,1.6447e+09,0,-0.98486,0.02528,-0.0052948,-0.17141
11959,1.6447e+09,0,-0.98487,0.025593,-0.0044511,-0.17136
12003,1.6447e+09,0,-0.98486,0.025169,-0.0053752,-0.17145
12049,1.6448e+09,0,-0.98488,0.025478,-0.0044262,-0.17131
12092,1.6448e+09,0,-0.98486,0.025358,-0.0051646,-0.17141
12137,1.6448e+09,0,-0.98486,0.025556,-0.0047268,-0.17142
12181,1.6448e+09,0,-0.98485,0.02564,-0.0049709,-0.17146
12225,1.6448e+09,0,-0.98483,0.025838,-0.0052785,-0.17148
12268,1.6448e+09,0,-0.98484,0.025981,-0.004696,-0.17144
12310,1.6448e+09,0,-0.98483,0.025676,-0.0055043,-0.17151
12353,1.6448e+09,0,-0.98485,0.025929,-0.0045551,-0.17141
12399,1.6448e+09,0,-0.98484,0.02582,-0.0052964,-0.17148
12441,1.6448e+09,0,-0.98483,0.02587,-0.0049566,-0.1715
12486,1.6449e+09,0,-0.98484,0.025699,-0.0052037,-0.1715
12528,1.6449e+09,0,-0.98484,0.025754,-0.0052397,-0.17149
12575,1.6449e+09,0,-0.98485,0.025757,-0.0045606,-0.17145
12617,1.6449e+09,0,-0.98484,0.025469,-0.00527,-0.17151
12659,1.6449e+09,0,-0.98486,0.025577,-0.0045429,-0.1714
12703,1.6449e+09,0,-0.98485,0.025485,-0.0051902,-0.17145
12748,1.6449e+09,0,-0.98484,0.025878,-0.0049073,-0.17147
12791,1.6449e+09,0,-0.98484,0.025786,-0.0051621,-0.17147
12839,1.6449e+09,0,-0.98483,0.025788,-0.0053257,-0.17153
12879,1.645e+09,0,-0.98482,0.026107,-0.0048745,-0.17154
12923,1.645e+09,0,-0.98483,0.025793,-0.0050629,-0.17153
12972,1.645e+09,0,-0.98481,0.026031,-0.0050813,-0.17159
13017,1.645e+09,0,-0.98483,0.025882,-0.0045707,-0.17151
13062,1.645e+09,0,-0.98482,0.025573,-0.0050758,-0.17159
13107,1.645e+09,0,-0.98485,0.025557,-0.0044487,-0.17146
13151,1.645e+09,0,-0.98485,0.02532,-0.005096,-0.17147
13195,1.645e+09,0,-0.98486,0.025555,-0.0043975,-0.17141
13239,1.645e+09,0,-0.98486,0.025171,-0.0052185,-0.17144
13284,1.645e+09,0,-0.98486,0.025465,-0.0046811,-0.17139
13329,1.6451e+09,0,-0.98486,0.025354,-0.0052578,-0.17142
13373,1.6451e+09,0,-0.98485,0.02566,-0.0048305,-0.17141
13422,1.6451e+09,0,-0.98484,0.025565,-0.0052806,-0.17148
13466,1.6451e+09,0,-0.98484,0.025735,-0.0050806,-0.17148
13511,1.6451e+09,0,-0.98483,0.025793,-0.005035,-0.17152
13568,1.6452e+09,0,-0.98482,0.02554,-0.0051766,-0.17162
13613,1.6452e+09,0,-0.98484,0.025566,-0.0043687,-0.17152
13661,1.6452e+09,0,-0.98483,0.025172,-0.005231,-0.17159
13709,1.6452e+09,0,-0.98485,0.02529,-0.0049291,-0.17148
13754,1.6452e+09,0,-0.98483,0.025433,-0.0049269,-0.17158
13801,1.6452e+09,0,-0.98484,0.025302,-0.0050691,-0.17156
13846,1.6452e+09,0,-0.98486,0.025067,-0.0045619,-0.17148
13892,1.6452e+09,0,-0.98482,0.025181,-0.0052726,-0.17166
13937,1.6453e+09,0,-0.98484,0.025414,-0.0045486,-0.17155
13982,1.6453e+09,0,-0.9848,0.025476,-0.0050655,-0.17175
14028,1.6453e+09,0,-0.98481,0.025624,-0.0048757,-0.17166
14077,1.6453e+09,0,-0.98478,0.025873,-0.0048532,-0.17178
14122,1.6453e+09,0,-0.98479,0.025954,-0.0050645,-0.17171
14167,1.6453e+09,0,-0.98481,0.025793,-0.00468,-0.17167
14212,1.6453e+09,0,-0.98479,0.025864,-0.0053189,-0.17173
14256,1.6453e+09,0,-0.98482,0.025709,-0.0045821,-0.1716
14301,1.6453e+09,0,-0.9848,0.025609,-0.0053434,-0.17173
14345,1.6453e+09,0,-0.98484,0.025228,-0.0047621,-0.17153
14394,1.6454e+09,0,-0.9848,0.025481,-0.0050451,-0.17172
14434,1.6454e+09,0,-0.98482,0.025457,-0.0051043,-0.17161
14476,1.6454e+09,0,-0.98481,0.025336,-0.0049053,-0.1717
14525,1.6454e+09,0,-0.98481,0.0254,-0.0052572,-0.17166
14567,1.6454e+09,0,-0.98482,0.025385,-0.0046194,-0.17166
14612,1.6454e+09,0,-0.98479,0.025487,-0.005285,-0.17181
14654,1.6454e+09,0,-0.98481,0.0254,-0.0047504,-0.1717
14695,1.6454e+09,0,-0.98477,0.025761,-0.0053614,-0.17188
14737,1.6454e+09,0,-0.98481,0.025665,-0.0045822,-0.17169
14779,1.6455e+09,0,-0.98476,0.025823,-0.0051639,-0.17192
14822,1.6455e+09,0,-0.98479,0.025741,-0.0047098,-0.17174
14864,1.6455e+09,0,-0.98476,0.0259,-0.0050203,-0.17192
14907,1.6455e+09,0,-0.9848,0.025812,-0.0047489,-0.17173
14955,1.6455e+09,0,-0.98477,0.025651,-0.0048581,-0.17189
14998,1.6455e+09,0,-0.9848,0.02559,-0.0049527,-0.17174
15041,1.6455e+09,0,-0.98479,0.025442,-0.0045863,-0.1718
15083,1.6455e+09,0,-0.98481,0.025418,-0.0050218,-0.17172
15126,1.6455e+09,0,-0.98481,0.025163,-0.0047666,-0.17176
15168,1.6455e+09,0,-0.98479,0.025314,-0.0052565,-0.17183
15211,1.6456e+09,0,-0.98481,0.025212,-0.00471,-0.17176
15253,1.6456e+09,0,-0.98477,0.025236,-0.0049794,-0.17193
15298,1.6456e+09,0,-0.9848,0.025275,-0.0050908,-0.17179
15343,1.6456e+09,0,-0.98476,0.025491,-0.0049239,-0.17198
15391,1.6456e+09,0,-0.98478,0.025695,-0.0049821,-0.17182
15437,1.6456e+09,0,-0.98477,0.025657,-0.004846,-0.17191
15481,1.6456e+09,0,-0.98477,0.025891,-0.0050946,-0.17185
