LineNo,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
12189,1.6448e+09,43.601,13.482,86.4,0.29816,-0.25184
12233,1.6448e+09,43.601,13.482,86.4,0.29818,-0.25182
12276,1.6448e+09,43.601,13.482,86.4,0.29803,-0.25197
12318,1.6448e+09,43.601,13.482,86.4,0.29818,-0.25182
12361,1.6448e+09,43.601,13.482,86.41,0.30013,-0.24987
12407,1.6448e+09,43.601,13.482,86.41,0.30075,-0.24925
12449,1.6448e+09,43.601,13.482,86.41,0.30084,-0.24916
12494,1.6449e+09,43.601,13.482,86.41,0.30124,-0.24876
12536,1.6449e+09,43.601,13.482,86.41,0.30149,-0.24851
12583,1.6449e+09,43.601,13.482,86.41,0.30201,-0.24799
12625,1.6449e+09,43.601,13.482,86.41,0.30392,-0.24608
12667,1.6449e+09,43.601,13.482,86.41,0.30432,-0.24568
12711,1.6449e+09,43.601,13.482,86.41,0.30476,-0.24524
12756,1.6449e+09,43.601,13.482,86.41,0.30555,-0.24445
12799,1.6449e+09,43.601,13.482,86.41,0.30589,-0.24411
12847,1.6449e+09,43.601,13.482,86.41,0.30684,-0.24316
12889,1.645e+09,43.601,13.482,86.41,0.30719,-0.24281
12933,1.645e+09,43.601,13.482,86.41,0.30691,-0.24309
12982,1.645e+09,43.601,13.482,86.41,0.3067,-0.2433
13027,1.645e+09,43.601,13.482,86.41,0.30876,-0.24124
13072,1.645e+09,43.601,13.482,86.41,0.30862,-0.24138
13117,1.645e+09,43.601,13.482,86.41,0.3086,-0.2414
13161,1.645e+09,43.601,13.482,86.41,0.30865,-0.24135
13205,1.645e+09,43.601,13.482,86.41,0.30842,-0.24158
13249,1.645e+09,43.601,13.482,86.41,0.30867,-0.24133
13294,1.6451e+09,43.601,13.482,86.42,0.31052,-0.23948
13339,1.6451e+09,43.601,13.482,86.42,0.31065,-0.23935
13383,1.6451e+09,43.601,13.482,86.42,0.31083,-0.23917
13432,1.6451e+09,43.601,13.482,86.42,0.31112,-0.23888
13476,1.6451e+09,43.601,13.482,86.42,0.31145,-0.23855
13521,1.6451e+09,43.601,13.482,86.42,0.31186,-0.23814
13578,1.6452e+09,43.601,13.482,86.42,0.31572,-0.23428
13623,1.6452e+09,43.601,13.482,86.42,0.31525,-0.23475
13671,1.6452e+09,43.601,13.482,86.42,0.31508,-0.23492
13719,1.6452e+09,43.601,13.482,86.42,0.31515,-0.23485
13764,1.6452e+09,43.601,13.482,86.42,0.31495,-0.23505
13811,1.6452e+09,43.601,13.482,86.42,0.31507,-0.23493
13856,1.6452e+09,43.601,13.482,86.42,0.31493,-0.23507
13902,1.6452e+09,43.601,13.482,86.42,0.3167,-0.2333
13947,1.6453e+09,43.601,13.482,86.42,0.31644,-0.23356
13994,1.6453e+09,43.601,13.482,86.42,0.31629,-0.23371
14038,1.6453e+09,43.601,13.482,86.42,0.31639,-0.23361
14087,1.6453e+09,43.601,13.482,86.42,0.31813,-0.23187
14132,1.6453e+09,43.601,13.482,86.42,0.3183,-0.2317
14177,1.6453e+09,43.601,13.482,86.42,0.31838,-0.23162
14222,1.6453e+09,43.601,13.482,86.42,0.31855,-0.23145
14266,1.6453e+09,43.601,13.482,86.42,0.31855,-0.23145
14311,1.6453e+09,43.601,13.482,86.43,0.32031,-0.22969
14355,1.6453e+09,43.601,13.482,86.43,0.32056,-0.22944
14402,1.6454e+09,43.601,13.482,86.43,0.32123,-0.22877
14442,1.6454e+09,43.601,13.482,86.43,0.32045,-0.22955
14484,1.6454e+09,43.601,13.482,86.42,0.31978,-0.23022
14533,1.6454e+09,43.601,13.482,86.42,0.31924,-0.23076
14577,1.6454e+09,43.601,13.482,86.42,0.31893,-0.23107
14620,1.6454e+09,43.601,13.482,86.43,0.32067,-0.22933
14662,1.6454e+09,43.601,13.482,86.43,0.32029,-0.22971
14703,1.6454e+09,43.601,13.482,86.42,0.31974,-0.23026
14745,1.6454e+09,43.601,13.482,86.42,0.31924,-0.23076
14787,1.6455e+09,43.601,13.482,86.42,0.31887,-0.23113
14830,1.6455e+09,43.601,13.482,86.42,0.31858,-0.23142
14872,1.6455e+09,43.601,13.482,86.42,0.31855,-0.23145
14915,1.6455e+09,43.601,13.482,86.43,0.32022,-0.22978
14963,1.6455e+09,43.601,13.482,86.43,0.32011,-0.22989
15006,1.6455e+09,43.601,13.482,86.43,0.32025,-0.22975
15049,1.6455e+09,43.601,13.482,86.43,0.32026,-0.22974
15091,1.6455e+09,43.601,13.482,86.43,0.32194,-0.22806
15134,1.6455e+09,43.601,13.482,86.43,0.32173,-0.22827
15176,1.6455e+09,43.601,13.482,86.43,0.32162,-0.22838
15219,1.6456e+09,43.601,13.482,86.43,0.32155,-0.22845
15263,1.6456e+09,43.601,13.482,86.43,0.32122,-0.22878
15308,1.6456e+09,43.601,13.482,86.43,0.32019,-0.22981
15353,1.6456e+09,43.601,13.482,86.42,0.31941,-0.23059
15401,1.6456e+09,43.601,13.482,86.42,0.31892,-0.23108
15447,1.6456e+09,43.601,13.482,86.43,0.32054,-0.22946
15491,1.6456e+09,43.601,13.482,86.43,0.32001,-0.22999
15537,1.6456e+09,43.601,13.482,86.42,0.31924,-0.23076
15584,1.6456e+09,43.601,13.482,86.42,0.31911,-0.23089
15629,1.6457e+09,43.601,13.482,86.42,0.31857,-0.23143
15674,1.6457e+09,43.601,13.482,86.42,0.31811,-0.23189
15718,1.6457e+09,43.601,13.482,86.42,0.31776,-0.23224
15763,1.6457e+09,43.601,13.482,86.42,0.31749,-0.23251
15813,1.6457e+09,43.601,13.482,86.42,0.31748,-0.23252
15857,1.6457e+09,43.601,13.482,86.42,0.31904,-0.23096
15902,1.6457e+09,43.601,13.482,86.42,0.31911,-0.23089
15947,1.6457e+09,43.601,13.482,86.42,0.31909,-0.23091
15993,1.6457e+09,43.601,13.482,86.42,0.31892,-0.23108
16039,1.6457e+09,43.601,13.482,86.42,0.31879,-0.23121
16078,1.6458e+09,43.601,13.482,86.42,0.31843,-0.23157
16125,1.6458e+09,43.601,13.482,86.42,0.31784,-0.23216
16170,1.6458e+09,43.601,13.482,86.42,0.31749,-0.23251
16215,1.6458e+09,43.601,13.482,86.42,0.31918,-0.23082
16265,1.6458e+09,43.601,13.482,86.42,0.31876,-0.23124
16310,1.6458e+09,43.601,13.482,86.42,0.3186,-0.2314
16354,1.6458e+09,43.601,13.482,86.42,0.31835,-0.23165
16401,1.6458e+09,43.601,13.482,86.42,0.3182,-0.2318
16451,1.6458e+09,43.601,13.482,86.42,0.31893,-0.23107
16495,1.6459e+09,43.601,13.482,86.42,0.31876,-0.23124
16540,1.6459e+09,43.601,13.482,86.42,0.31872,-0.23128
16585,1.6459e+09,43.601,13.482,86.42,0.31856,-0.23144
16629,1.6459e+09,43.601,13.482,86.42,0.31879,-0.23121
16675,1.6459e+09,43.601,13.482,86.42,0.31907,-0.23093
16723,1.6459e+09,43.601,13.482,86.43,0.32055,-0.22945
16768,1.6459e+09,43.601,13.482,86.43,0.32077,-0.22923
16812,1.6459e+09,43.601,13.482,86.43,0.32102,-0.22898
16858,1.6459e+09,43.601,13.482,86.43,0.3213,-0.2287
16904,1.6459e+09,43.601,13.482,86.43,0.32147,-0.22853
16947,1.646e+09,43.601,13.482,86.43,0.32128,-0.22872
16987,1.646e+09,43.601,13.482,86.43,0.32111,-0.22889
17030,1.646e+09,43.601,13.482,86.43,0.32091,-0.22909
17073,1.646e+09,43.601,13.482,86.43,0.32237,-0.22763
17115,1.646e+09,43.601,13.482,86.43,0.32221,-0.22779
17162,1.646e+09,43.601,13.482,86.43,0.32213,-0.22787
17204,1.646e+09,43.601,13.482,86.43,0.32212,-0.22788
17246,1.646e+09,43.601,13.482,86.43,0.3222,-0.2278
17291,1.646e+09,43.601,13.482,86.43,0.32227,-0.22773
17333,1.6461e+09,43.601,13.482,86.43,0.32247,-0.22753
17380,1.6461e+09,43.601,13.482,86.43,0.32301,-0.22699
17422,1.6461e+09,43.601,13.482,86.43,0.32316,-0.22684
17465,1.6461e+09,43.601,13.482,86.43,0.32352,-0.22648
17508,1.6461e+09,43.601,13.482,86.43,0.32493,-0.22507
17550,1.6461e+09,43.601,13.482,86.43,0.32521,-0.22479
17598,1.6461e+09,43.601,13.482,86.43,0.32548,-0.22452
17640,1.6461e+09,43.601,13.482,86.43,0.32585,-0.22415
17683,1.6461e+09,43.601,13.482,86.43,0.32624,-0.22376
17727,1.6461e+09,43.601,13.482,86.43,0.32666,-0.22334
17773,1.6462e+09,43.601,13.482,86.43,0.32661,-0.22339
17818,1.6462e+09,43.601,13.482,86.43,0.32647,-0.22353
17862,1.6462e+09,43.601,13.482,86.43,0.32789,-0.22211
17906,1.6462e+09,43.601,13.482,86.43,0.32779,-0.22221
17951,1.6462e+09,43.601,13.482,86.43,0.3278,-0.2222
17999,1.6462e+09,43.601,13.482,86.43,0.32783,-0.22217
18048,1.6462e+09,43.601,13.482,86.43,0.32835,-0.22165
18093,1.6462e+09,43.601,13.482,86.43,0.32849,-0.22151
18140,1.6462e+09,43.601,13.482,86.43,0.32884,-0.22116
18190,1.6463e+09,43.601,13.482,86.43,0.32927,-0.22073
18239,1.6463e+09,43.601,13.482,86.43,0.32975,-0.22025
18284,1.6463e+09,43.601,13.482,86.43,0.32987,-0.22013
18328,1.6463e+09,43.601,13.482,86.44,0.33009,-0.21991
18373,1.6463e+09,43.601,13.482,86.44,0.3314,-0.2186
18422,1.6463e+09,43.601,13.482,86.44,0.33165,-0.21835
18467,1.6463e+09,43.601,13.482,86.44,0.33205,-0.21795
18515,1.6463e+09,43.601,13.482,86.44,0.33266,-0.21734
18561,1.6463e+09,43.601,13.482,86.44,0.33356,-0.21644
18604,1.6464e+09,43.601,13.482,86.44,0.33313,-0.21688
18648,1.6464e+09,43.601,13.482,86.44,0.33268,-0.21732
18694,1.6464e+09,43.601,13.482,86.44,0.33226,-0.21774
18739,1.6464e+09,43.601,13.482,86.44,0.33208,-0.21792
18783,1.6464e+09,43.601,13.482,86.44,0.33339,-0.21661
18828,1.6464e+09,43.601,13.482,86.44,0.33311,-0.21689
18876,1.6464e+09,43.601,13.482,86.44,0.33291,-0.2171
18921,1.6464e+09,43.601,13.482,86.44,0.3329,-0.2171
18966,1.6464e+09,43.601,13.482,86.44,0.33284,-0.21716
19011,1.6465e+09,43.601,13.482,86.44,0.3328,-0.2172
19059,1.6465e+09,43.601,13.482,86.44,0.33318,-0.21682
19104,1.6465e+09,43.601,13.482,86.44,0.3331,-0.2169
19149,1.6465e+09,43.601,13.482,86.44,0.33438,-0.21562
19194,1.6465e+09,43.601,13.482,86.44,0.33435,-0.21565
19239,1.6465e+09,43.601,13.482,86.44,0.33438,-0.21562
19283,1.6465e+09,43.601,13.482,86.44,0.33448,-0.21552
19332,1.6465e+09,43.601,13.482,86.44,0.33473,-0.21527
19377,1.6465e+09,43.601,13.482,86.44,0.33507,-0.21493
19421,1.6465e+09,43.601,13.482,86.44,0.33631,-0.21369
19469,1.6466e+09,43.601,13.482,86.44,0.33657,-0.21343
19506,1.6466e+09,43.601,13.482,86.44,0.33597,-0.21403
19549,1.6466e+09,43.601,13.482,86.44,0.33537,-0.21463
19592,1.6466e+09,43.601,13.482,86.44,0.33474,-0.21526
