LineNo,TimeUS,C15,C16,C17,C18
16271,2.3559e+07,0,0,0,0
16312,2.357e+07,0,0,0,0
16354,2.358e+07,0,0,0,0
16394,2.359e+07,0,0,0,0
16435,2.36e+07,0,0,0,0
16481,2.3611e+07,0,0,0,0
16522,2.3621e+07,0,0,0,0
16564,2.3631e+07,0,0,0,0
16607,2.3641e+07,0,0,0,0
16647,2.3656e+07,0,0,0,0
16688,2.3667e+07,0,0,0,0
16730,2.3678e+07,0,0,0,0
16770,2.3688e+07,0,0,0,0
16811,2.3697e+07,0,0,0,0
16851,2.3707e+07,0,0,0,0
16897,2.3718e+07,0,0,0,0
16937,2.3728e+07,0,0,0,0
16978,2.3738e+07,0,0,0,0
17019,2.3748e+07,0,0,0,0
17053,2.3759e+07,0,0,0,0
17093,2.3769e+07,0,0,0,0
17136,2.3779e+07,0,0,0,0
17178,2.3789e+07,0,0,0,0
17218,2.38e+07,0,0,0,0
17259,2.381e+07,0,0,0,0
17304,2.382e+07,0,0,0,0
17345,2.3829e+07,0,0,0,0
17386,2.384e+07,0,0,0,0
17428,2.385e+07,0,0,0,0
17470,2.3859e+07,0,0,0,0
17510,2.387e+07,0,0,0,0
17552,2.388e+07,0,0,0,0
17593,2.389e+07,0,0,0,0
17634,2.39e+07,0,0,0,0
17675,2.391e+07,0,0,0,0
17719,2.392e+07,0,0,0,0
17760,2.3931e+07,0,0,0,0
17801,2.3941e+07,0,0,0,0
17849,2.3956e+07,0,0,0,0
17889,2.3967e+07,0,0,0,0
17931,2.3977e+07,0,0,0,0
17972,2.3987e+07,0,0,0,0
18013,2.3998e+07,0,0,0,0
18054,2.4008e+07,0,0,0,0
18098,2.4019e+07,0,0,0,0
18140,2.4029e+07,0,0,0,0
18180,2.4039e+07,0,0,0,0
18223,2.4049e+07,0,0,0,0
18263,2.4059e+07,0,0,0,0
18303,2.4069e+07,0,0,0,0
18344,2.408e+07,0,0,0,0
18385,2.409e+07,0,0,0,0
18426,2.41e+07,0,0,0,0
18467,2.411e+07,0,0,0,0
18514,2.4122e+07,0,0,0,0
18555,2.4133e+07,0,0,0,0
18596,2.4143e+07,0,0,0,0
18637,2.4153e+07,0,0,0,0
18678,2.4163e+07,0,0,0,0
18715,2.4176e+07,0,0,0,0
18756,2.4186e+07,0,0,0,0
18798,2.4197e+07,0,0,0,0
18838,2.4207e+07,0,0,0,0
18880,2.4217e+07,0,0,0,0
18924,2.4228e+07,0,0,0,0
18965,2.4238e+07,0,0,0,0
19006,2.4248e+07,0,0,0,0
19048,2.426e+07,0,0,0,0
19089,2.4271e+07,0,0,0,0
19129,2.4281e+07,0,0,0,0
19171,2.4291e+07,0,0,0,0
19212,2.4301e+07,0,0,0,0
19252,2.4311e+07,0,0,0,0
19293,2.4321e+07,0,0,0,0
19337,2.4331e+07,0,0,0,0
19379,2.4341e+07,0,0,0,0
19419,2.4351e+07,0,0,0,0
19460,2.4362e+07,0,0,0,0
19501,2.4374e+07,0,0,0,0
19542,2.4384e+07,0,0,0,0
19585,2.4395e+07,0,0,0,0
19625,2.4404e+07,0,0,0,0
19667,2.4415e+07,0,0,0,0
19712,2.4425e+07,0,0,0,0
19753,2.4435e+07,0,0,0,0
19794,2.4445e+07,0,0,0,0
19837,2.4456e+07,0,0,0,0
19878,2.4466e+07,0,0,0,0
19915,2.4476e+07,0,0,0,0
19956,2.4486e+07,0,0,0,0
19997,2.4496e+07,0,0,0,0
20037,2.4507e+07,0,0,0,0
20078,2.4517e+07,0,0,0,0
20124,2.4528e+07,0,0,0,0
20165,2.4538e+07,0,0,0,0
20205,2.4548e+07,0,0,0,0
20246,2.4558e+07,0,0,0,0
20287,2.4568e+07,0,0,0,0
20326,2.4579e+07,0,0,0,0
20366,2.4588e+07,0,0,0,0
20407,2.4598e+07,0,0,0,0
20447,2.4609e+07,0,0,0,0
20489,2.4619e+07,0,0,0,0
20536,2.4629e+07,0,0,0,0
20578,2.4639e+07,0,0,0,0
20619,2.4649e+07,0,0,0,0
20659,2.4659e+07,0,0,0,0
20700,2.4669e+07,0,0,0,0
20740,2.468e+07,0,0,0,0
20781,2.469e+07,0,0,0,0
20822,2.47e+07,0,0,0,0
20863,2.471e+07,0,0,0,0
20904,2.472e+07,0,0,0,0
20948,2.4731e+07,0,0,0,0
20991,2.474e+07,0,0,0,0
21031,2.4751e+07,0,0,0,0
21074,2.4761e+07,0,0,0,0
21114,2.4771e+07,0,0,0,0
21155,2.4782e+07,0,0,0,0
21197,2.4792e+07,0,0,0,0
21237,2.4802e+07,0,0,0,0
21278,2.4813e+07,0,0,0,0
21319,2.4823e+07,0,0,0,0
21366,2.4834e+07,0,0,0,0
21408,2.4844e+07,0,0,0,0
21449,2.4853e+07,0,0,0,0
21491,2.4864e+07,0,0,0,0
21531,2.4874e+07,0,0,0,0
21572,2.4885e+07,0,0,0,0
21612,2.4896e+07,0,0,0,0
21653,2.4906e+07,0,0,0,0
21693,2.4916e+07,0,0,0,0
21735,2.4926e+07,0,0,0,0
21782,2.4936e+07,0,0,0,0
21822,2.4946e+07,0,0,0,0
21863,2.4956e+07,0,0,0,0
21904,2.4966e+07,0,0,0,0
21948,2.4979e+07,0,0,0,0
21988,2.4989e+07,0,0,0,0
22029,2.5e+07,0,0,0,0
22069,2.501e+07,0,0,0,0
22111,2.502e+07,0,0,0,0
22152,2.503e+07,0,0,0,0
22197,2.504e+07,0,0,0,0
22240,2.505e+07,0,0,0,0
22280,2.5061e+07,0,0,0,0
22321,2.5072e+07,0,0,0,0
22362,2.5083e+07,0,0,0,0
22403,2.5093e+07,0,0,0,0
22444,2.5103e+07,0,0,0,0
22484,2.5114e+07,0,0,0,0
22526,2.5124e+07,0,0,0,0
22566,2.5134e+07,0,0,0,0
22612,2.5145e+07,0,0,0,0
22652,2.5155e+07,0,0,0,0
22694,2.5165e+07,0,0,0,0
22735,2.5175e+07,0,0,0,0
22772,2.5186e+07,0,0,0,0
22812,2.5196e+07,0,0,0,0
22852,2.5206e+07,0,0,0,0
22894,2.5216e+07,0,0,0,0
22934,2.5226e+07,0,0,0,0
22975,2.5236e+07,0,0,0,0
23020,2.5247e+07,0,0,0,0
23065,2.5257e+07,0,0,0,0
23106,2.5267e+07,0,0,0,0
23147,2.5278e+07,0,0,0,0
23188,2.5289e+07,0,0,0,0
23228,2.5299e+07,0,0,0,0
23269,2.531e+07,0,0,0,0
23312,2.532e+07,0,0,0,0
23353,2.533e+07,0,0,0,0
23394,2.534e+07,0,0,0,0
23438,2.535e+07,0,0,0,0
23480,2.536e+07,0,0,0,0
23520,2.537e+07,0,0,0,0
23562,2.538e+07,0,0,0,0
23605,2.539e+07,0,0,0,0
23646,2.54e+07,0,0,0,0
23687,2.5411e+07,0,0,0,0
23728,2.5422e+07,0,0,0,0
23770,2.5431e+07,0,0,0,0
23812,2.5441e+07,0,0,0,0
23857,2.5451e+07,0,0,0,0
23899,2.5461e+07,0,0,0,0
23939,2.5472e+07,0,0,0,0
23981,2.5481e+07,0,0,0,0
24021,2.5491e+07,0,0,0,0
24062,2.5501e+07,0,0,0,0
24102,2.5511e+07,0,0,0,0
24143,2.5522e+07,0,0,0,0
24184,2.5532e+07,0,0,0,0
24225,2.5541e+07,0,0,0,0
24270,2.5552e+07,0,0,0,0
24310,2.5562e+07,0,0,0,0
24352,2.5572e+07,0,0,0,0
24393,2.5582e+07,0,0,0,0
24434,2.5592e+07,0,0,0,0
24471,2.5602e+07,0,0,0,0
24512,2.5613e+07,0,0,0,0
24554,2.5623e+07,0,0,0,0
24594,2.5633e+07,0,0,0,0
24637,2.5644e+07,0,0,0,0
24688,2.5654e+07,0,0,0,0
24729,2.5665e+07,0,0,0,0
24770,2.5675e+07,0,0,0,0
24811,2.5685e+07,0,0,0,0
24852,2.5698e+07,0,0,0,0
24893,2.5708e+07,0,0,0,0
24934,2.5718e+07,0,0,0,0
24974,2.5729e+07,0,0,0,0
25015,2.5739e+07,0,0,0,0
25057,2.575e+07,0,0,0,0
25102,2.576e+07,0,0,0,0
25143,2.577e+07,0,0,0,0
25184,2.578e+07,0,0,0,0
25226,2.5791e+07,0,0,0,0
25266,2.5801e+07,0,0,0,0
25307,2.5811e+07,0,0,0,0
25347,2.5821e+07,0,0,0,0
25387,2.5832e+07,0,0,0,0
25427,2.5842e+07,0,0,0,0
25470,2.5852e+07,0,0,0,0
25515,2.5862e+07,0,0,0,0
25555,2.5872e+07,0,0,0,0
25597,2.5882e+07,0,0,0,0
25638,2.5892e+07,0,0,0,0
25679,2.5902e+07,0,0,0,0
25717,2.5912e+07,0,0,0,0
25757,2.5923e+07,0,0,0,0
25798,2.5933e+07,0,0,0,0
25838,2.5943e+07,0,0,0,0
25880,2.5954e+07,0,0,0,0
25925,2.5964e+07,0,0,0,0
25965,2.5974e+07,0,0,0,0
26008,2.5984e+07,0,0,0,0
26046,2.5994e+07,0,0,0,0
26088,2.6004e+07,0,0,0,0
26129,2.6013e+07,0,0,0,0
26169,2.6026e+07,0,0,0,0
26212,2.6037e+07,0,0,0,0
26252,2.6047e+07,0,0,0,0
26294,2.6057e+07,0,0,0,0
26339,2.6068e+07,0,0,0,0
26379,2.6078e+07,0,0,0,0
26420,2.6089e+07,0,0,0,0
26462,2.6099e+07,0,0,0,0
26500,2.6111e+07,0,0,0,0
26541,2.6121e+07,0,0,0,0
26581,2.6131e+07,0,0,0,0
26623,2.6142e+07,0,0,0,0
26663,2.6152e+07,0,0,0,0
26708,2.6162e+07,0,0,0,0
26748,2.6172e+07,0,0,0,0
26790,2.6182e+07,0,0,0,0
26831,2.6192e+07,0,0,0,0
26871,2.6204e+07,0,0,0,0
26912,2.6215e+07,0,0,0,0
26952,2.6225e+07,0,0,0,0
26994,2.6235e+07,0,0,0,0
27039,2.6245e+07,0,0,0,0
27080,2.6255e+07,0,0,0,0
27125,2.6265e+07,0,0,0,0
27165,2.6275e+07,0,0,0,0
27206,2.6285e+07,0,0,0,0
27246,2.6295e+07,0,0,0,0
27288,2.6305e+07,0,0,0,0
27322,2.6315e+07,0,0,0,0
27363,2.6325e+07,0,0,0,0
27405,2.6336e+07,0,0,0,0
27446,2.6346e+07,0,0,0,0
