LineNo,TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
1.9245e+05,1.2663e+08,1013,4006,1.7162e+05,9138,16304,12904
1.9637e+05,1.2763e+08,1108,3911,1.6745e+05,1004,16328,12411
2.0214e+05,1.7474e+08,1108,3746,1.6372e+05,8612,16369,12814
2.0647e+05,1.7574e+08,1108,4326,1.9048e+05,9867,16059,12896
2.1071e+05,1.7675e+08,1256,4241,1.8654e+05,995,16072,12225
2.1508e+05,1.7775e+08,1256,4370,1.9244e+05,6592,16141,12728
2.1947e+05,1.7875e+08,1256,4386,1.9286e+05,9349,16138,12801
2.2381e+05,1.7975e+08,1256,4341,1.9087e+05,8509,16318,12593
2.2814e+05,1.8076e+08,1256,4322,1.9018e+05,7115,16193,12655
2.3241e+05,1.8176e+08,1256,4271,1.8795e+05,7934,16329,12730
2.3672e+05,1.8276e+08,1256,4309,1.8953e+05,6256,16128,12107
2.4106e+05,1.8376e+08,1256,4337,1.9057e+05,6111,16238,12411
2.4527e+05,1.8476e+08,1256,4215,1.8521e+05,7218,16283,12597
2.495e+05,1.8576e+08,1256,4224,1.8572e+05,7141,16307,12397
2.5376e+05,1.8677e+08,1256,4258,1.8724e+05,7541,16000,12218
2.5803e+05,1.8777e+08,1256,4271,1.8755e+05,6962,16312,12481
2.6234e+05,1.8877e+08,1256,4314,1.8973e+05,7306,16203,12567
2.6665e+05,1.8978e+08,1256,4307,1.8943e+05,7431,16275,12652
