LineNo,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
11356,2.2326e+07,0.88713,0.9288,1,0.022177,2
11393,2.2336e+07,0.88714,0.9288,1,0.022177,2
11434,2.2346e+07,0.88714,0.9288,1,0.022177,2
11475,2.2357e+07,0.88714,0.9288,1,0.022177,2
11515,2.2367e+07,0.88715,0.9288,1,0.022177,2
11557,2.2377e+07,0.88715,0.92881,1,0.022177,2
11602,2.2387e+07,0.88715,0.92881,1,0.022177,2
11645,2.2398e+07,0.88718,0.92883,1,0.022177,2
11686,2.2407e+07,0.88721,0.92885,1,0.022177,2
11726,2.2418e+07,0.88724,0.92887,1,0.022177,2
11767,2.2427e+07,0.88727,0.92888,1,0.022177,2
11804,2.2439e+07,0.88729,0.9289,1,0.022177,2
11846,2.2449e+07,0.88732,0.92892,1,0.022177,2
11888,2.2458e+07,0.88734,0.92893,1,0.022177,2
11929,2.2469e+07,0.88737,0.92895,1,0.022177,2
11971,2.2479e+07,0.88739,0.92896,1,0.022177,2
12016,2.2489e+07,0.88741,0.92898,1,0.022177,2
12057,2.2499e+07,0.88742,0.92898,1,0.022177,2
12097,2.251e+07,0.88742,0.92898,1,0.022177,2
12141,2.2523e+07,0.88742,0.92898,1,0.022177,2
12183,2.2534e+07,0.88742,0.92899,1,0.022177,2
12223,2.2544e+07,0.88743,0.92899,1,0.022177,2
12261,2.2554e+07,0.88743,0.92899,1,0.022177,2
12301,2.2564e+07,0.88743,0.92899,1,0.022177,2
12342,2.2574e+07,0.88743,0.92899,1,0.022177,2
12384,2.2585e+07,0.88743,0.92899,1,0.022177,2
12431,2.2595e+07,0.88742,0.92898,1,0.022177,2
12471,2.2605e+07,0.88738,0.92896,1,0.022177,2
12512,2.2615e+07,0.88734,0.92893,1,0.022177,2
12553,2.2625e+07,0.88729,0.9289,1,0.022177,2
12590,2.2635e+07,0.88725,0.92888,1,0.022177,2
12630,2.2646e+07,0.88721,0.92885,1,0.022177,2
12671,2.2656e+07,0.88718,0.92883,1,0.022177,2
12712,2.2666e+07,0.88714,0.9288,1,0.022177,2
12752,2.2676e+07,0.8871,0.92878,1,0.022177,2
12795,2.2685e+07,0.88707,0.92876,1,0.022177,2
12840,2.2695e+07,0.88705,0.92874,1,0.022177,2
12880,2.2706e+07,0.88705,0.92874,1,0.022177,2
12921,2.2716e+07,0.88706,0.92875,1,0.022177,2
12961,2.2726e+07,0.88706,0.92875,1,0.022177,2
12999,2.2738e+07,0.88707,0.92875,1,0.022177,2
13039,2.2748e+07,0.88707,0.92876,1,0.022177,2
13081,2.2759e+07,0.88708,0.92876,1,0.022177,2
13122,2.2769e+07,0.88708,0.92876,1,0.022177,2
13162,2.2779e+07,0.88709,0.92877,1,0.022177,2
13205,2.2789e+07,0.88709,0.92877,1,0.022177,2
13250,2.2799e+07,0.8871,0.92878,1,0.022177,2
13291,2.281e+07,0.88712,0.92879,1,0.022177,2
13332,2.282e+07,0.88714,0.9288,1,0.022177,2
13372,2.283e+07,0.88716,0.92882,1,0.022177,2
13413,2.2841e+07,0.88718,0.92883,1,0.022177,2
13453,2.2851e+07,0.8872,0.92884,1,0.022177,2
13495,2.2861e+07,0.88721,0.92885,1,0.022177,2
13536,2.2871e+07,0.88723,0.92886,1,0.022177,2
13576,2.2881e+07,0.88725,0.92887,1,0.022177,2
13618,2.2891e+07,0.88726,0.92888,1,0.022177,2
13662,2.2901e+07,0.88728,0.92889,1,0.022177,2
13704,2.2912e+07,0.88731,0.92891,1,0.022177,2
13744,2.2921e+07,0.88733,0.92893,1,0.022177,2
13785,2.2931e+07,0.88736,0.92894,1,0.022177,2
13823,2.2943e+07,0.88738,0.92896,1,0.022177,2
13863,2.2953e+07,0.8874,0.92897,1,0.022177,2
13904,2.2963e+07,0.88743,0.92899,1,0.022177,2
13946,2.2973e+07,0.88745,0.929,1,0.022177,2
13987,2.2982e+07,0.88747,0.92901,1,0.022177,2
14028,2.2993e+07,0.88749,0.92903,1,0.022177,2
14072,2.3003e+07,0.8875,0.92903,1,0.022177,2
14114,2.3013e+07,0.8875,0.92904,1,0.022177,2
14154,2.3023e+07,0.88751,0.92904,1,0.022177,2
14199,2.3036e+07,0.88752,0.92905,1,0.022177,2
14241,2.3046e+07,0.88752,0.92905,1,0.022177,2
14279,2.3056e+07,0.88752,0.92905,1,0.022177,2
14321,2.3066e+07,0.88753,0.92905,1,0.022177,2
14361,2.3076e+07,0.88753,0.92906,1,0.022177,2
14402,2.3087e+07,0.88754,0.92906,1,0.022177,2
14442,2.3097e+07,0.88754,0.92906,1,0.022177,2
14488,2.3107e+07,0.88752,0.92905,1,0.022177,2
14529,2.3117e+07,0.88749,0.92903,1,0.022177,2
14570,2.3128e+07,0.88746,0.92901,1,0.022177,2
14611,2.3137e+07,0.88743,0.92899,1,0.022177,2
14651,2.315e+07,0.8874,0.92897,1,0.022177,2
14692,2.3161e+07,0.88737,0.92895,1,0.022177,2
14732,2.3171e+07,0.88735,0.92894,1,0.022177,2
14773,2.318e+07,0.88732,0.92892,1,0.022177,2
14814,2.3191e+07,0.8873,0.92891,1,0.022177,2
14859,2.3201e+07,0.88728,0.92889,1,0.022177,2
14901,2.3211e+07,0.88724,0.92887,1,0.022177,2
14941,2.3221e+07,0.88721,0.92885,1,0.022177,2
14982,2.3231e+07,0.88718,0.92883,1,0.022177,2
15022,2.3241e+07,0.88715,0.92881,1,0.022177,2
15063,2.3251e+07,0.88712,0.92879,1,0.022177,2
15101,2.3262e+07,0.88709,0.92877,1,0.022177,2
15141,2.3272e+07,0.88706,0.92875,1,0.022177,2
15184,2.3283e+07,0.88703,0.92873,1,0.022177,2
15224,2.3293e+07,0.887,0.92871,1,0.022177,2
15270,2.3304e+07,0.88698,0.9287,1,0.022177,2
15310,2.3314e+07,0.88699,0.9287,1,0.022177,2
15352,2.3324e+07,0.887,0.92871,1,0.022177,2
15395,2.3336e+07,0.88701,0.92872,1,0.022177,2
15436,2.3347e+07,0.88702,0.92872,1,0.022177,2
15478,2.3357e+07,0.88703,0.92873,1,0.022177,2
15515,2.3368e+07,0.88704,0.92873,1,0.022177,2
15556,2.3378e+07,0.88705,0.92874,1,0.022177,2
15598,2.3388e+07,0.88705,0.92875,1,0.022177,2
15638,2.3398e+07,0.88706,0.92875,1,0.022177,2
15685,2.3408e+07,0.88707,0.92876,1,0.022177,2
15725,2.3419e+07,0.8871,0.92878,1,0.022177,2
15767,2.3429e+07,0.88713,0.9288,1,0.022177,2
15809,2.3439e+07,0.88716,0.92881,1,0.022177,2
15853,2.3452e+07,0.88719,0.92884,1,0.022177,2
15894,2.3463e+07,0.88722,0.92885,1,0.022177,2
15935,2.3473e+07,0.88724,0.92887,1,0.022177,2
15976,2.3483e+07,0.88727,0.92888,1,0.022177,2
16016,2.3493e+07,0.88729,0.9289,1,0.022177,2
16057,2.3503e+07,0.88731,0.92891,1,0.022177,2
16102,2.3513e+07,0.88731,0.92891,1,0.022177,2
16143,2.3523e+07,0.88729,0.9289,1,0.022177,2
16184,2.3533e+07,0.88726,0.92888,1,0.022177,2
16224,2.3544e+07,0.88724,0.92887,1,0.022177,2
16269,2.3559e+07,0.88721,0.92885,1,0.022177,2
16310,2.3569e+07,0.88719,0.92883,1,0.022177,2
16352,2.358e+07,0.88717,0.92882,1,0.022177,2
16392,2.359e+07,0.88715,0.9288,1,0.022177,2
16433,2.36e+07,0.88713,0.92879,1,0.022177,2
16479,2.3611e+07,0.88711,0.92878,1,0.022177,2
16520,2.3621e+07,0.88708,0.92876,1,0.022177,2
16562,2.3631e+07,0.88705,0.92874,1,0.022177,2
16605,2.3641e+07,0.88702,0.92872,1,0.022177,2
16645,2.3656e+07,0.88698,0.9287,1,0.022177,2
16686,2.3667e+07,0.88696,0.92868,1,0.022177,2
16728,2.3677e+07,0.88693,0.92867,1,0.022177,2
16768,2.3687e+07,0.88691,0.92865,1,0.022177,2
16809,2.3697e+07,0.88689,0.92864,1,0.022177,2
16849,2.3707e+07,0.88686,0.92862,1,0.022177,2
16895,2.3718e+07,0.88686,0.92862,1,0.022177,2
16935,2.3728e+07,0.88688,0.92863,1,0.022177,2
16976,2.3738e+07,0.8869,0.92865,1,0.022177,2
17017,2.3748e+07,0.88692,0.92866,1,0.022177,2
17051,2.3759e+07,0.88694,0.92867,1,0.022177,2
17091,2.3769e+07,0.88695,0.92868,1,0.022177,2
17134,2.3779e+07,0.88697,0.92869,1,0.022177,2
17176,2.3789e+07,0.88699,0.9287,1,0.022177,2
17216,2.3799e+07,0.887,0.92871,1,0.022177,2
17257,2.3809e+07,0.88702,0.92872,1,0.022177,2
17302,2.382e+07,0.88704,0.92874,1,0.022177,2
17343,2.3829e+07,0.88707,0.92876,1,0.022177,2
17384,2.384e+07,0.88711,0.92878,1,0.022177,2
17426,2.3849e+07,0.88714,0.9288,1,0.022177,2
17468,2.3859e+07,0.88717,0.92882,1,0.022177,2
17508,2.387e+07,0.8872,0.92884,1,0.022177,2
17550,2.388e+07,0.88722,0.92886,1,0.022177,2
17591,2.389e+07,0.88725,0.92887,1,0.022177,2
17632,2.39e+07,0.88728,0.92889,1,0.022177,2
17673,2.391e+07,0.8873,0.92891,1,0.022177,2
17717,2.392e+07,0.88732,0.92892,1,0.022177,2
17758,2.393e+07,0.88732,0.92892,1,0.022177,2
17799,2.3941e+07,0.88732,0.92892,1,0.022177,2
17847,2.3956e+07,0.88732,0.92892,1,0.022177,2
17887,2.3967e+07,0.88732,0.92892,1,0.022177,2
17929,2.3977e+07,0.88732,0.92892,1,0.022177,2
17970,2.3987e+07,0.88732,0.92892,1,0.022177,2
18011,2.3998e+07,0.88732,0.92892,1,0.022177,2
18052,2.4008e+07,0.88732,0.92892,1,0.022177,2
18096,2.4019e+07,0.88732,0.92892,1,0.022177,2
18138,2.4029e+07,0.88734,0.92893,1,0.022177,2
18178,2.4039e+07,0.88737,0.92895,1,0.022177,2
18221,2.4049e+07,0.88739,0.92896,1,0.022177,2
18261,2.4059e+07,0.88741,0.92897,1,0.022177,2
18301,2.4069e+07,0.88742,0.92899,1,0.022177,2
18342,2.408e+07,0.88744,0.929,1,0.022177,2
18383,2.409e+07,0.88746,0.92901,1,0.022177,2
18424,2.41e+07,0.88748,0.92902,1,0.022177,2
18465,2.411e+07,0.88749,0.92903,1,0.022177,2
18512,2.4122e+07,0.8875,0.92903,1,0.022177,2
18553,2.4133e+07,0.88746,0.92901,1,0.022177,2
18594,2.4142e+07,0.88741,0.92898,1,0.022177,2
18635,2.4153e+07,0.88737,0.92895,1,0.022177,2
18676,2.4163e+07,0.88733,0.92893,1,0.022177,2
18713,2.4176e+07,0.88728,0.92889,1,0.022177,2
18754,2.4186e+07,0.88725,0.92887,1,0.022177,2
18796,2.4197e+07,0.88721,0.92885,1,0.022177,2
18836,2.4207e+07,0.88718,0.92882,1,0.022177,2
18878,2.4217e+07,0.88714,0.9288,1,0.022177,2
18922,2.4227e+07,0.88711,0.92878,1,0.022177,2
18963,2.4238e+07,0.88707,0.92875,1,0.022177,2
19004,2.4248e+07,0.88703,0.92873,1,0.022177,2
19046,2.426e+07,0.88699,0.9287,1,0.022177,2
19087,2.4271e+07,0.88695,0.92868,1,0.022177,2
19127,2.4281e+07,0.88692,0.92866,1,0.022177,2
19169,2.4291e+07,0.88689,0.92864,1,0.022177,2
19210,2.4301e+07,0.88686,0.92862,1,0.022177,2
19250,2.4311e+07,0.88683,0.9286,1,0.022177,2
19291,2.4321e+07,0.8868,0.92858,1,0.022177,2
19335,2.4331e+07,0.88681,0.92859,1,0.022177,2
19377,2.4341e+07,0.88683,0.9286,1,0.022177,2
19417,2.4351e+07,0.88685,0.92861,1,0.022177,2
19458,2.4361e+07,0.88687,0.92863,1,0.022177,2
19499,2.4374e+07,0.8869,0.92864,1,0.022177,2
19540,2.4384e+07,0.88691,0.92865,1,0.022177,2
19583,2.4394e+07,0.88693,0.92867,1,0.022177,2
19623,2.4404e+07,0.88695,0.92868,1,0.022177,2
19665,2.4415e+07,0.88697,0.92869,1,0.022177,2
19710,2.4425e+07,0.88698,0.9287,1,0.022177,2
19751,2.4435e+07,0.887,0.92871,1,0.022177,2
19792,2.4445e+07,0.88702,0.92872,1,0.022177,2
19835,2.4456e+07,0.88704,0.92873,1,0.022177,2
19876,2.4465e+07,0.88705,0.92874,1,0.022177,2
19913,2.4476e+07,0.88707,0.92875,1,0.022177,2
19954,2.4486e+07,0.88708,0.92876,1,0.022177,2
19995,2.4496e+07,0.8871,0.92877,1,0.022177,2
20035,2.4507e+07,0.88711,0.92878,1,0.022177,2
20076,2.4517e+07,0.88713,0.92879,1,0.022177,2
20122,2.4527e+07,0.88714,0.9288,1,0.022177,2
20163,2.4538e+07,0.8871,0.92878,1,0.022177,2
20203,2.4548e+07,0.88706,0.92875,1,0.022177,2
20244,2.4558e+07,0.88702,0.92872,1,0.022177,2
20285,2.4568e+07,0.88698,0.9287,1,0.022177,2
20324,2.4578e+07,0.88694,0.92867,1,0.022177,2
20364,2.4588e+07,0.88691,0.92865,1,0.022177,2
20405,2.4598e+07,0.88687,0.92863,1,0.022177,2
20445,2.4609e+07,0.88684,0.92861,1,0.022177,2
