LineNo,TimeUS,Instance,RPM,RawRPM,Volt,Curr,Temp,CTot,MotTemp,Err
1.5629e+05,8.2281e+07,1,4701,4714,16.05,1.53,27,6,0,0
1.567e+05,8.2377e+07,1,4707,4614,16.05,1.46,27,6,0,0
1.5715e+05,8.2491e+07,1,4605,4500,16.07,1.45,27,6,0,0
1.5756e+05,8.2594e+07,1,4501,4585,16.05,1.39,27,6,0,0
1.5804e+05,8.271e+07,1,4578,4528,16.05,1.39,27,6,0,0
1.5846e+05,8.2816e+07,1,4541,4642,16.05,1.69,27,6,0,0
1.5894e+05,8.2929e+07,1,4644,4657,16.04,1.64,27,6,0,0
1.5935e+05,8.3036e+07,1,4664,4728,16.01,1.79,27,7,0,0
1.5983e+05,8.3146e+07,1,4739,4814,16.06,1.71,27,7,0,0
1.6024e+05,8.3249e+07,1,4796,4585,15.97,1.56,27,7,0,0
1.6069e+05,8.3363e+07,1,4581,4557,16.03,1.39,27,7,0,0
1.6109e+05,8.3464e+07,1,4556,4542,16.06,1.19,27,7,0,0
1.6158e+05,8.3581e+07,1,4536,4457,16.08,1.56,27,7,0,0
1.6203e+05,8.3691e+07,1,4466,4600,16.04,1.76,27,7,0,0
1.6249e+05,8.3801e+07,1,4622,4828,16.13,1.81,27,7,0,0
1.6289e+05,8.3902e+07,1,4832,4871,16.12,1.75,27,7,0,0
1.6334e+05,8.4009e+07,1,4875,4942,16.07,1.85,27,7,0,0
1.6423e+05,8.4226e+07,1,4940,4771,16.07,1.56,27,7,0,0
1.6468e+05,8.4341e+07,1,4769,4757,16.07,1.73,27,7,0,0
1.6508e+05,8.4438e+07,1,4754,4585,16.07,1.48,27,7,0,0
1.6561e+05,8.4561e+07,1,4586,4600,15.99,1.41,27,7,0,0
1.6601e+05,8.4656e+07,1,4601,4657,16.09,1.43,27,7,0,0
1.6646e+05,8.4769e+07,1,4652,4385,16.06,1.29,27,7,0,0
1.678e+05,8.5094e+07,1,4384,4328,16.08,1.26,27,7,0,0
1.6828e+05,8.5208e+07,1,4328,4342,16.05,1.4,27,7,0,0
1.6873e+05,8.5319e+07,1,4343,4371,16.02,1.32,27,7,0,0
1.6922e+05,8.5437e+07,1,4369,4357,16.06,1.53,27,8,0,0
1.6962e+05,8.5536e+07,1,4357,4357,16.05,1.29,27,8,0,0
1.7007e+05,8.5647e+07,1,4356,4314,16.11,1.55,27,8,0,0
1.7052e+05,8.5754e+07,1,4318,4571,16.08,1.65,27,8,0,0
1.7096e+05,8.5863e+07,1,4576,4685,16.06,1.82,27,8,0,0
1.7189e+05,8.6083e+07,1,4695,4971,16.05,1.87,27,8,0,0
1.7235e+05,8.6195e+07,1,4967,4928,16.08,1.81,27,8,0,0
1.7271e+05,8.6292e+07,1,4929,5014,16.03,1.97,27,8,0,0
1.736e+05,8.651e+07,1,5013,4985,16.08,1.85,27,8,0,0
1.7405e+05,8.6616e+07,1,4985,5028,16.07,1.99,27,8,0,0
1.745e+05,8.6729e+07,1,5026,5000,16.07,1.55,27,8,0,0
1.749e+05,8.6831e+07,1,4991,4642,16,1.28,27,8,0,0
1.754e+05,8.695e+07,1,4635,4557,16.02,1.17,27,8,0,0
1.7585e+05,8.7061e+07,1,4536,4314,16.02,1.57,27,8,0,0
1.763e+05,8.7168e+07,1,4323,4457,16.01,1.56,27,8,0,0
1.7674e+05,8.7276e+07,1,4448,4342,16.01,1.41,27,8,0,0
1.7719e+05,8.7384e+07,1,4350,4471,16.04,1.59,27,8,0,0
1.7763e+05,8.7492e+07,1,4474,4542,16,1.73,27,8,0,0
1.7808e+05,8.7605e+07,1,4543,4557,15.99,1.52,27,8,0,0
1.7854e+05,8.772e+07,1,4562,4628,15.96,1.39,27,9,0,0
1.7898e+05,8.7833e+07,1,4619,4528,16.03,1.29,27,9,0,0
1.7939e+05,8.793e+07,1,4529,4585,16.02,1.57,27,9,0,0
1.7979e+05,8.8035e+07,1,4590,4714,16.05,1.75,27,9,0,0
1.8024e+05,8.8144e+07,1,4716,4814,15.97,1.87,27,9,0,0
1.8065e+05,8.8252e+07,1,4817,4985,16,1.9,27,9,0,0
1.8114e+05,8.8367e+07,1,4990,5071,16.02,1.86,27,9,0,0
1.8155e+05,8.847e+07,1,5068,5014,15.95,1.89,27,9,0,0
1.8204e+05,8.8587e+07,1,5007,4928,16.04,1.64,27,9,0,0
