LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
5534,20943565,0,1.38,0.4,17.7,-8.931092e-07,-0.002730794,-0.4568202,-0.1104466,0,0,-0.6556573,0,0,-0.22,0
5577,20953491,0,1.38,0.4,17.7,0.0004356795,-0.00233657,-0.4553994,-0.1129589,0,0,-0.6566905,0,0,-0.22,0
5615,20963676,0,1.38,0.4,17.7,0.0005787772,-0.002067166,-0.4535089,-0.1164087,0,0,-0.6559073,0,0,-0.21,0
5655,20973799,0,1.38,0.4,17.7,0.0007017148,-0.001612499,-0.4515231,-0.1145599,0,0,-0.655336,0,0,-0.21,0
5697,20983924,0,1.38,0.4,17.7,0.0009950327000000001,-0.001230091,-0.4496833,-0.1050084,0,0,-0.6554261,0,0,-0.21,0
5737,20993914,0,1.39,0.41,17.7,0.0011895,-0.0008385405,-0.4496269,-0.09282434000000001,0,0,-0.6599184,0,0,-0.21,0
5778,21003834,0,1.39,0.41,17.7,0.00178587,-0.0003538117,-0.447502,-0.08334411,0,0,-0.6597237,0,0,-0.21,0
5819,21013847,0,1.4,0.4,17.7,0.002252172,0.0001797391,-0.4453363,-0.07505997,0,0,-0.6597131000000001,0,0,-0.21,0
5864,21023913,0,1.4,0.4,17.7,0.002239451,0.0005063202,-0.4432811,-0.06871264000000001,0,0,-0.6598737,0,0,-0.21,0
5905,21033854,0,1.4,0.4,17.7,0.002195022,0.000744566,-0.4414773,-0.0669245,0,0,-0.6601896,0,0,-0.21,0
5945,21043935,0,1.4,0.4,17.7,0.002118521,0.0008167357,-0.4413507,-0.06305519,0,0,-0.6645993,0,0,-0.21,0
5987,21054141,0,1.4,0.39,17.7,0.001844035,0.0007664982,-0.4397168,-0.06116655,0,0,-0.6650648,0,0,-0.21,0
6024,21063829,0,1.4,0.39,17.7,0.001528081,0.0007408183,-0.437239,-0.05840981,0,0,-0.6637285000000001,0,0,-0.2,0
6067,21074322,0,1.4,0.39,17.7,0.001166883,0.00102172,-0.4350078,-0.05506029,0,0,-0.6626098,0,0,-0.2,0
6105,21084899,0,1.39,0.38,17.69,0.0003894001,0.001143797,-0.4326713,-0.04975676,0,0,-0.6621342,0,0,-0.2,0
6145,21095263,0,1.39,0.38,17.69,-0.0001798024,0.001276627,-0.4324048,-0.0401813,0,0,-0.6664553,0,0,-0.2,0
6186,21105169,0,1.39,0.38,17.69,-0.0009404353,0.001211671,-0.4305426,-0.03331766,0,0,-0.665723,0,0,-0.2,0
6227,21115230,0,1.38,0.38,17.68,-0.001738699,0.001138301,-0.428273,-0.02671561,0,0,-0.665191,0,0,-0.2,0
6272,21125184,0,1.38,0.38,17.68,-0.002333351,0.001071027,-0.4261686,-0.02394209,0,0,-0.6648418,0,0,-0.2,0
6313,21135292,0,1.38,0.38,17.68,-0.002826322,0.0008405853,-0.4243552,-0.02271045,0,0,-0.664674,0,0,-0.2,0
6353,21145676,0,1.38,0.39,17.68,-0.003471483,0.0008100837,-0.4239843,-0.01875376,0,0,-0.6689107,0,0,-0.2,0
6394,21155679,0,1.38,0.39,17.68,-0.003895768,0.0007076937,-0.422374,-0.01886384,0,0,-0.6688942,0,0,-0.2,0
6433,21165707,0,1.39,0.39,17.68,-0.004105404,0.0004698278,-0.4200261,-0.01593001,0,0,-0.6669958,0,0,-0.21,0
6472,21175663,0,1.39,0.39,17.68,-0.004218282,2.810774e-05,-0.4181104,-0.01269817,0,0,-0.6653319,0,0,-0.21,0
